Vernier Format 2
ecg6.txt 10/20/2025 8:29:50
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.105	0.005	
0.005	-0.141	0.010	
0.010	0.287	0.015	
0.015	0.229	0.046	
0.020	-0.199	0.077	
0.025	0.021	0.072	
0.030	0.288	0.062	
0.035	-0.202	0.064	
0.040	-0.193	0.039	
0.045	0.195	0.001	
0.050	-0.116	-0.014	
0.055	-0.298	-0.034	
0.060	0.046	-0.068	
0.065	0.052	-0.080	
0.070	-0.287	-0.077	
0.075	-0.087	-0.090	
0.080	0.166	-0.093	
0.085	-0.262	-0.078	
0.090	-0.231	-0.084	
0.095	0.169	-0.096	
0.100	-0.026	-0.081	
0.105	-0.095	-0.058	
0.110	0.589	-0.018	
0.115	0.626	0.083	
0.120	0.052	0.205	
0.125	0.314	0.276	
0.130	0.481	0.313	
0.135	-0.150	0.325	
0.140	-0.173	0.272	
0.145	0.140	0.179	
0.150	-0.139	0.099	
0.155	-0.338	0.019	
0.160	-0.080	-0.065	
0.165	-0.080	-0.121	
0.170	-0.349	-0.153	
0.175	-0.142	-0.183	
0.180	0.177	-0.185	
0.185	-0.213	-0.152	
0.190	-0.176	-0.127	
0.195	0.275	-0.105	
0.200	-0.020	-0.058	
0.205	-0.217	-0.024	
0.210	0.191	-0.015	
0.215	0.145	0.007	
0.220	-0.262	0.026	
0.225	-0.051	0.011	
0.230	0.336	0.000	
0.235	-0.132	0.018	
0.240	-0.087	0.022	
0.245	0.449	0.027	
0.250	0.116	0.067	
0.255	-0.135	0.099	
0.260	0.374	0.107	
0.265	0.321	0.134	
0.270	-0.202	0.160	
0.275	-0.013	0.139	
0.280	0.376	0.110	
0.285	-0.136	0.103	
0.290	-0.126	0.080	
0.295	0.351	0.052	
0.300	-0.011	0.055	
0.305	-0.226	0.051	
0.310	0.156	0.025	
0.315	0.157	0.019	
0.320	-0.236	0.023	
0.325	0.003	0.007	
0.330	0.388	0.005	
0.335	-0.106	0.034	
0.340	-0.100	0.045	
0.345	0.431	0.049	
0.350	0.108	0.081	
0.355	-0.155	0.105	
0.360	0.269	0.100	
0.365	0.243	0.109	
0.370	-0.193	0.118	
0.375	-0.035	0.093	
0.380	0.244	0.063	
0.385	-0.223	0.047	
0.390	-0.229	0.010	
0.395	0.145	-0.034	
0.400	-0.098	-0.052	
0.405	-0.313	-0.067	
0.410	-0.011	-0.097	
0.415	-0.019	-0.110	
0.420	-0.321	-0.113	
0.425	-0.145	-0.131	
0.430	0.128	-0.138	
0.435	-0.249	-0.122	
0.440	-0.232	-0.120	
0.445	0.263	-0.117	
0.450	0.070	-0.078	
0.455	-0.026	-0.027	
0.460	0.660	0.035	
0.465	0.690	0.150	
0.470	0.021	0.274	
0.475	0.171	0.326	
0.480	0.408	0.327	
