Time	Potential	EKG	Unnamed: 3
0.0	0.105	0.0039258399773865835	
0.005	-0.141	0.005012930381052433	
0.01	0.287	0.019343430242637127	
0.015	0.229	0.04841786231369744	
0.02	-0.199	0.07093970212488862	
0.025	0.021	0.07333170688350396	
0.03	0.288	0.06740282083556055	
0.035	-0.202	0.05918416604482338	
0.04	-0.193	0.03647052419119953	
0.045	0.195	0.007550774729474502	
0.05	-0.116	-0.01554302022195773	
0.055	-0.298	-0.039749727660385405	
0.06	0.046	-0.06278053424207634	
0.065	0.052	-0.07738991484071012	
0.07	-0.287	-0.08398304581999672	
0.075	-0.087	-0.08826106426035804	
0.08	0.166	-0.08694375763887488	
0.085	-0.262	-0.08359123047642793	
0.09	-0.231	-0.08667783281681428	
0.095	0.169	-0.08860632356887163	
0.1	-0.026	-0.08290221512497462	
0.105	-0.095	-0.06433007645816081	
0.11	0.589	-0.01203958145577095	
0.115	0.626	0.08579242228952927	
0.12	0.052	0.19721415824065602	
0.125	0.314	-0.0586354390597109	
0.13	0.481	0.3196046815069078	
0.135	-0.150	0.3188101192789332	
0.14	-0.173	0.2690909666313235	
0.145	0.140	0.18702902802181082	
0.15	-0.139	0.09693108702575194	
0.155	-0.338	0.012175550209750776	
0.16	-0.080	-0.0586354390597109	
0.165	-0.080	-0.11803904765635334	
0.17	-0.349	-0.1612634267467938	
0.175	-0.142	-0.1808147074533179	
0.18	0.177	-0.1779575986935495	
0.185	-0.213	-0.15857301045943567	
0.19	-0.176	-0.13002398914045135	
0.195	0.275	-0.09645625462476777	
0.2	-0.020	-0.06025375820711035	
0.205	-0.217	-0.03125119610426198	
0.21	0.191	-0.008222833695740494	
0.215	0.145	0.010113572474523594	
0.22	-0.262	0.01719888296442146	
0.225	-0.051	0.013298806485731663	
0.23	0.336	0.007462004033124367	
0.235	-0.132	0.011060627092226123	
0.24	-0.087	0.018783730297847433	
0.245	0.449	0.03600937776185688	
0.25	0.116	0.06467451512176393	
0.255	-0.135	0.09135935123014963	
0.26	0.374	0.11406711199017677	
0.265	0.321	0.13732014162456266	
0.27	-0.202	0.1508198215672028	
0.275	-0.013	0.1413026198224619	
0.28	0.376	0.11778071853834349	
0.285	-0.136	0.09587612697918718	
0.29	-0.126	0.07659812542741172	
0.295	0.351	0.061264335486373486	
0.3	-0.011	0.052693738089592754	
0.305	-0.226	0.043128457273248946	
0.31	0.156	0.0321770712740901	
0.315	0.157	0.022462261298271648	
0.32	-0.236	0.013662871309414956	
0.325	0.003	0.00930194467728231	
0.33	0.388	0.012956288471722994	
0.335	-0.106	0.026791667388639164	
0.34	-0.100	0.041479016150875854	
0.345	0.431	0.05839966393752571	
0.35	0.108	0.07873056157210029	
0.355	-0.155	0.0969828969625051	
0.36	0.269	0.10720910548778581	
0.365	0.243	0.11256832586837485	
0.37	-0.193	0.10856980332093535	
0.375	-0.035	0.09523037633432707	
0.38	0.244	0.07104731094217064	
0.385	-0.223	0.03979070463752986	
0.39	-0.229	0.0063892585503233	
0.395	0.145	-0.02455077280961901	
0.4	-0.098	-0.054211348363362236	
0.405	-0.313	-0.07508831094634488	
0.41	-0.011	-0.08977936445711142	
0.415	-0.019	-0.10635593373557731	
0.42	-0.321	-0.12249175129535225	
0.425	-0.145	-0.12877573938900916	
0.43	0.128	-0.12984020782610195	
0.435	-0.249	-0.12927413761708179	
0.44	-0.232	-0.12368927292756139	
0.445	0.263	-0.10740128365234462	
0.45	0.070	-0.08020853949456022	
0.455	-0.026	-0.03524992583926708	
0.46	0.660	0.042360850946494895	
0.465	0.690	0.15379916879791455	
0.47	0.021	0.26427479467446385	
0.475	0.171	0.3281083803682012	
0.48	0.408	0.33535315848475794	
0.485	-0.145	0.2986734642115497	
0.49	-0.203	0.23110510638861656	
0.495	0.154	0.14871342857786266	
0.5	-0.124	0.06291083002910527	
0.505	-0.323	-0.011423862728831866	
0.51	-0.017	-0.06468266783421893	
0.515	0.044	-0.10304276828814724	
0.52	-0.280	-0.12375173154368442	
0.525	-0.116	-0.12392318353759008	
0.53	0.208	-0.11347905018625096	
0.535	-0.171	-0.09933790567109854	
0.54	-0.162	-0.07801694006188642	
0.545	0.347	-0.04813915304565704	
0.55	0.042	-0.015044092161270787	
0.555	-0.205	0.013351715824309673	
0.56	0.249	0.03637567815526179	
0.565	0.296	0.05913335469558442	
0.57	-0.182	0.07804660918345174	
0.575	0.049	0.08897325763320638	
0.58	0.489	0.09776309007698944	
0.585	-0.040	0.111630611759992	
0.59	-0.068	0.12375619119925359	
0.595	0.495	0.13299295684718726	
0.6	0.163	0.14609900404059475	
