Time	Potential	EKG	Unnamed: 3
0.0	-0.219	-0.008778251087825817	
0.005	-0.344	-0.05007432498397433	
0.01	-0.474	-0.12369760193112331	
0.015	-0.478	-0.2164997145184241	
0.02	-0.509	-0.31416120923165547	
0.025	-0.596	-0.40145605642080795	
0.03	-0.562	-0.4719407942103258	
0.035	-0.540	-0.5250814222686513	
0.04	-0.628	-0.5606291875962695	
0.045	-0.630	-0.5849644756973134	
0.05	-0.515	-0.5983074931980816	
0.055	-0.520	-0.5980352299513552	
0.06	-0.524	-0.58311438559363	
0.065	-0.408	-0.5562300428181016	
0.07	-0.382	-0.5229017892902144	
0.075	-0.413	-0.4838945346074084	
0.08	-0.275	-0.44094408712433397	
0.085	-0.181	-0.3916641669799321	
0.09	-0.291	-0.3409049086990352	
0.095	-0.291	-0.29923776408637326	
0.1	-0.153	-0.26890346329710346	
0.105	-0.158	-0.24304213416764672	
0.11	-0.138	-0.21252235602757766	
0.115	0.130	-0.16897198103178737	
0.12	0.267	-0.10163512621722456	
0.125	0.090	-0.016280163790272206	
0.13	0.334	0.06902393849251616	
0.135	0.559	0.15770761941320055	
0.14	0.313	0.24991394748553977	
0.145	0.259	0.3195134865343091	
0.15	0.403	0.3533591124180273	
0.155	0.125	0.3549889533317474	
0.16	-0.074	0.3181809071899766	
0.165	0.036	0.24608470043711086	
0.17	-0.020	0.16052583638275525	
0.175	-0.258	0.07558307975129289	
0.18	-0.258	-0.013038497460981522	
0.185	-0.257	-0.10217329543520663	
0.19	-0.436	-0.1870870342474879	
0.195	-0.459	-0.264527783173623	
0.2	-0.349	-0.3295646332540086	
0.205	-0.411	-0.37795178138040975	
0.21	-0.462	-0.4068206707212404	
0.215	-0.335	-0.41889332759146597	
0.22	-0.352	-0.4184613123536502	
0.225	-0.423	-0.41143382109376636	
0.23	-0.295	-0.3960244316207573	
0.235	-0.246	-0.37415166351436735	
0.24	-0.367	-0.35211755560564373	
0.245	-0.333	-0.3335540053288879	
0.25	-0.188	-0.31653973004996827	
0.255	-0.251	-0.2989582603994339	
0.26	-0.283	-0.27987238453255836	
0.265	-0.127	-0.2578837187830365	
0.27	-0.112	-0.23242105571143418	
0.275	-0.177	-0.20347069624343364	
0.28	-0.136	-0.17505877185999424	
0.285	-0.106	-0.15511618664938304	
0.29	-0.220	-0.14712455403463648	
0.295	-0.199	-0.14759413843922464	
0.3	-0.081	-0.1505056658386721	
0.305	-0.173	-0.15293837603078664	
0.31	-0.202	-0.15492359707035025	
0.315	-0.034	-0.15086882966275866	
0.32	-0.031	-0.1383660505706626	
0.325	-0.126	-0.11851399706788285	
0.33	-0.022	-0.0970888356639101	
0.335	0.088	-0.07203883503485665	
0.34	-0.043	-0.04611139380638271	
0.345	0.020	-0.02066903201030664	
0.35	0.172	0.005521587196076237	
0.355	0.042	0.03212682801870286	
0.36	-0.061	0.04800228889534992	
0.365	0.096	0.05306989338611835	
