Vernier Format 2
ecg3.txt 10/20/2025 8:14:41
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.179	-0.008	
0.005	0.036	-0.026	
0.010	-0.364	-0.051	
0.015	-0.277	-0.099	
0.020	0.142	-0.140	
0.025	-0.216	-0.144	
0.030	-0.376	-0.150	
0.035	0.029	-0.169	
0.040	0.000	-0.161	
0.045	-0.317	-0.141	
0.050	0.052	-0.132	
0.055	0.547	-0.088	
0.060	-0.051	0.000	
0.065	0.026	0.066	
0.070	0.631	0.115	
0.075	0.047	0.179	
0.080	-0.243	0.200	
0.085	0.146	0.160	
0.090	-0.023	0.112	
0.095	-0.422	0.053	
0.100	-0.211	-0.036	
0.105	0.015	-0.111	
0.110	-0.373	-0.153	
0.115	-0.306	-0.193	
0.120	0.073	-0.220	
0.125	-0.246	-0.211	
0.130	-0.341	-0.202	
0.135	0.148	-0.197	
0.140	0.017	-0.159	
0.145	-0.388	-0.121	
0.150	-0.116	-0.120	
0.155	0.223	-0.116	
0.160	-0.260	-0.089	
0.165	-0.161	-0.081	
0.170	0.374	-0.071	
0.175	-0.064	-0.029	
0.180	-0.225	-0.002	
0.185	0.259	-0.000	
0.190	0.145	0.021	
0.195	-0.240	0.042	
0.200	0.073	0.032	
0.205	0.343	0.033	
0.210	-0.208	0.053	
0.215	-0.139	0.043	
0.220	0.426	0.027	
0.225	-0.016	0.047	
0.230	-0.182	0.058	
0.235	0.382	0.052	
0.240	0.298	0.081	
0.245	-0.226	0.114	
0.250	0.039	0.104	
0.255	0.334	0.089	
0.260	-0.222	0.087	
0.265	-0.145	0.059	
0.270	0.415	0.029	
0.275	-0.086	0.037	
0.280	-0.248	0.034	
0.285	0.229	0.010	
0.290	0.215	0.016	
0.295	-0.225	0.036	
0.300	0.120	0.034	
0.305	0.461	0.049	
0.310	-0.147	0.088	
0.315	-0.055	0.097	
0.320	0.502	0.094	
0.325	-0.058	0.117	
0.330	-0.217	0.114	
0.335	0.305	0.083	
0.340	0.166	0.078	
0.345	-0.281	0.078	
0.350	0.023	0.046	
0.355	0.328	0.026	
0.360	-0.220	0.033	
0.365	-0.156	0.018	
0.370	0.398	0.001	
0.375	-0.068	0.019	
0.380	-0.252	0.025	
0.385	0.206	0.006	
0.390	0.094	0.008	
0.395	-0.318	0.010	
0.400	-0.025	-0.016	
0.405	0.354	-0.027	
0.410	-0.211	-0.005	
0.415	-0.077	-0.001	
0.420	0.690	0.017	
0.425	0.299	0.096	
0.430	0.012	0.178	
0.435	0.635	0.229	
0.440	0.437	0.291	
0.445	-0.200	0.329	
0.450	0.070	0.291	
0.455	0.281	0.229	
0.460	-0.315	0.171	
0.465	-0.274	0.082	
0.470	0.154	-0.009	
0.475	-0.239	-0.062	
0.480	-0.368	-0.109	
