Time	Potential	EKG	Unnamed: 3
0.0	0.600	0.029415325670972804	
0.005	0.568	0.11493938395342619	
0.01	0.796	0.2574996176792052	
0.015	1.010	0.4268618214058413	
0.02	0.675	0.5867402287002399	
0.025	0.389	0.6873687457684063	
0.03	0.431	0.7001488582058961	
0.035	0.195	0.6386193742041575	
0.04	-0.081	0.5239601092314194	
0.045	-0.032	0.3771931589608655	
0.05	-0.042	0.22372913871642958	
0.055	-0.243	0.08574712645424415	
0.06	-0.220	-0.02671981439097858	
0.065	-0.127	-0.1138378632885019	
0.07	-0.240	-0.17418266429303533	
0.075	-0.268	-0.209825321666369	
0.08	-0.106	-0.22463774185297122	
0.085	-0.155	-0.2251927195381125	
0.09	-0.257	-0.2162735937570387	
0.095	-0.129	-0.20178692936145104	
0.1	-0.077	-0.18804233942496584	
0.105	-0.225	-0.17444827249735584	
0.11	-0.171	-0.16186472192351337	
0.115	-0.017	-0.15159084290408498	
0.12	-0.129	-0.14023603162703957	
0.125	-0.171	-0.12707391069796536	
0.13	0.007	-0.11345449304986782	
0.135	-0.031	-0.10008533179371104	
0.14	-0.144	-0.08553915516945457	
0.145	0.000	-0.07072834403769798	
0.15	0.105	-0.05481503093513496	
0.155	-0.110	-0.03764813232434014	
0.16	-0.083	-0.0249648116031793	
0.165	0.099	-0.02134276130831083	
0.17	-0.045	-0.019303932358092656	
0.175	-0.072	-0.014268080498394845	
0.18	0.194	-0.004255122169704922	
0.185	0.142	0.016988027234571372	
0.19	-0.048	0.04223311137155635	
0.195	0.130	0.06233772503472588	
0.2	0.195	0.07634070770358792	
0.205	-0.063	0.08518422337113316	
0.21	0.032	0.08399224640853983	
0.215	0.272	0.08284275944239439	
0.22	0.042	0.0876404547661163	
0.225	-0.031	0.09159955727534298	
0.23	0.224	0.09184585892462549	
0.235	0.136	0.09503257095853056	
0.24	-0.064	0.09612576403419666	
0.245	0.070	0.09034992064786031	
0.25	0.064	0.07441184611947008	
0.255	-0.139	0.05014252658961864	
0.26	-0.103	0.019960406268501034	
0.265	0.049	-0.010113615654503407	
0.27	-0.129	-0.03635511206079047	
0.275	-0.181	-0.05842794900962927	
0.28	-0.040	-0.07713799441324905	
0.285	-0.112	-0.09495407300467941	
0.29	-0.226	-0.11089277182040927	
0.295	-0.119	-0.12263468245564468	
0.3	-0.058	-0.13255807789723117	
0.305	-0.184	-0.13787439736133056	
0.31	-0.129	-0.1350395322256395	
0.315	-0.006	-0.12708044079275366	
0.32	-0.133	-0.11938567017309637	
0.325	-0.182	-0.11246036571172013	
0.33	-0.017	-0.10608386777889124	
0.335	-0.038	-0.10095388184944896	
0.34	-0.148	-0.09395941233287992	
0.345	-0.022	-0.08158822719795647	
0.35	0.038	-0.07051188413623816	
0.355	-0.145	-0.061972009081958164	
0.36	-0.103	-0.056047508837123776	
0.365	0.085	-0.05297782879660978	
0.37	-0.078	-0.05044570798938828	
0.375	-0.092	-0.044527417567596164	
0.38	0.131	-0.03296278104087288	
0.385	0.030	-0.018952251624289273	
0.39	-0.115	-0.007097492162223953	
0.395	0.046	0.0014831082108849646	
0.4	0.125	0.006582523019757406	
0.405	-0.104	0.010899294459407047	
0.41	-0.051	0.010936259637818265	
0.415	0.140	0.008159240797143065	
0.42	-0.049	0.006488258113983906	
0.425	-0.095	0.004375976177029839	
0.43	0.131	0.0031500877039414604	
0.435	0.067	0.0070723873541675645	
0.44	-0.092	0.012793190598719513	
0.445	0.059	0.018530364491296424	
0.45	0.137	0.023654414124516444	
0.455	-0.097	0.025815115000346077	
0.46	-0.038	0.023918719370843382	
0.465	0.145	0.020244625457257363	
0.47	-0.037	0.01645772071599182	
0.475	-0.090	0.013315888406605985	
0.48	0.156	0.013212165474104734	
0.485	0.072	0.017095319779292725	
0.49	-0.097	0.02272156387503908	
0.495	0.072	0.027545566313368828	
0.5	0.168	0.03171409876582	
0.505	-0.066	0.03777463666266466	
0.51	-0.034	0.03988908100028597	
0.515	0.119	0.0352888410615157	
0.52	-0.061	0.02544930917763765	
0.525	-0.103	0.013280139349660288	
0.53	0.097	0.0032395376692860222	
0.535	0.023	-0.002891990685748067	
0.54	-0.127	-0.007307800072248369	
0.545	0.017	-0.01044452409321041	
0.55	0.078	-0.013266221043205264	
0.555	-0.084	-0.01424576415451033	
0.56	-0.014	-0.010105651301137195	
0.565	0.212	0.00032739230647515344	
0.57	0.021	0.017441064913784755	
0.575	-0.026	0.035251771745172425	
0.58	0.230	0.05425814909597527	
0.585	0.151	0.07312135868025492	
0.59	-0.013	0.09066275065892355	
0.595	0.194	0.10555155728789219	
0.6	0.255	0.11976191065342158	
0.605	-0.043	0.12873901606564697	
0.61	0.009	0.12384673516328533	
0.615	0.255	0.11233439651925903	
0.62	0.061	0.10348827759836915	
0.625	-0.031	0.09923396738410611	
0.63	0.133	0.09120547342672067	
0.635	0.009	0.07514976006249519	
0.64	-0.133	0.05170143439249758	
0.645	0.000	0.026500116425398172	
0.65	0.073	0.004750781925101265	
0.655	-0.122	-0.013182931064257539	
0.66	-0.100	-0.02515679824329	
0.665	0.056	-0.035725929278729814	
0.67	-0.095	-0.04648147208466228	
0.675	-0.133	-0.05273120954840484	
0.68	0.036	-0.054826682231983746	
0.685	-0.025	-0.05584594023101316	
0.69	-0.161	-0.05726786580048422	
0.695	-0.042	-0.056516473875834555	
0.7	0.013	-0.05926720558168683	
0.705	-0.171	-0.06417918755442625	
0.71	-0.086	-0.06815240537060654	
0.715	0.208	-0.060707383122614714	
0.72	0.186	-0.030463979772051716	
0.725	0.339	0.03527971899623578	
0.73	0.803	0.14421329900511748	
0.735	0.811	0.29218364562503696	
0.74	0.534	0.4446877370661821	
0.745	0.585	0.03527971899623578	
0.75	0.452	0.6097120336129253	
0.755	-0.019	0.5828001932193565	
0.76	-0.032	0.4867735820686414	
0.765	0.099	0.3522652639717132	
0.77	-0.106	0.21660096670453197	
0.775	-0.173	0.09826215174215297	
0.78	-0.035	0.007112776605998206	
0.785	-0.101	-0.061769298333549626	
0.79	-0.242	-0.10920644254957396	
0.795	-0.122	-0.1366117642875131	
0.8	-0.063	-0.15325898674869726	
0.805	-0.211	-0.16005726756711086	
0.81	-0.162	-0.15822091473128846	
0.815	-0.031	-0.1508066843613869	
0.82	-0.147	-0.14536536981664808	
0.825	-0.184	-0.1357284888387514	
0.83	-0.017	-0.12494801213791461	
0.835	-0.058	-0.11577410674729043	
0.84	-0.176	-0.10619459260658096	
0.845	-0.042	-0.09463213918173854	
0.85	0.049	-0.08426352891703112	
0.855	-0.126	-0.07306329833413278	
0.86	-0.081	-0.06022583195009232	
0.865	0.108	-0.048789871851641735	
0.87	-0.045	-0.038382205571587995	
0.875	-0.081	-0.02674357168625872	
0.88	0.142	-0.011908025644666908	
0.885	0.087	0.004220383081844861	
0.89	-0.083	0.019759223101107313	
0.895	0.104	0.03239980670355902	
0.9	0.169	0.04376311097707255	
0.905	-0.052	0.05288225283064892	
0.91	0.029	0.05877374983877595	
0.915	0.240	0.0642638065447595	
0.92	0.035	0.07259409435341191	
0.925	-0.014	0.07921855733288258	
0.93	0.249	0.08612444671831154	
0.935	0.148	0.09623930216056079	
0.94	-0.048	0.10372789485373579	
0.945	0.136	0.1053861725899942	
0.95	0.215	0.10478996083398522	
0.955	-0.043	0.10189646694414538	
0.96	0.009	0.09473831152611675	
0.965	0.195	0.08424920502542715	
0.97	-0.029	0.07264141575129136	
0.975	-0.109	0.05721163234850417	
0.98	0.052	0.036059756390500866	
0.985	-0.029	0.011271158840999822	
0.99	-0.179	-0.014213698440913265	
0.995	-0.075	-0.037670204361774706	
1.0	-0.035	-0.06123461422456162	
1.005	-0.202	-0.08402788828921114	
1.01	-0.168	-0.10126749708288714	
1.015	-0.025	-0.1148076779732242	
1.02	-0.150	-0.1253156814420764	
1.025	-0.184	-0.12774747707529066	
1.03	-0.046	-0.12597946032888196	
1.035	-0.097	-0.12473949548900581	
1.04	-0.193	-0.12318362350200401	
1.045	-0.069	-0.11766743939323997	
1.05	0.012	-0.11025048373734926	
1.055	-0.153	-0.10203547670957702	
1.06	-0.107	-0.09125472321386409	
1.065	0.044	-0.08179937895270174	
1.07	-0.107	-0.0753499565495282	
1.075	-0.159	-0.07176076974774029	
1.08	0.024	-0.06793589975263871	
1.085	-0.029	-0.06674832336667672	
1.09	-0.155	-0.06523383606715052	
1.095	-0.011	-0.0606278160949505	
1.1	0.099	-0.053213313622216755	
1.105	-0.104	-0.04210111018962823	
1.11	-0.038	-0.02925509596339036	
1.115	0.131	-0.017726921634846175	
1.12	-0.075	-0.009395668825612272	
1.125	-0.130	-0.008815963411967165	
1.13	0.101	-0.010860655661654596	
1.135	0.053	-0.010731543092600455	
1.14	-0.093	-0.005308287072641815	
1.145	0.070	0.0024001937702134105	
1.15	0.166	0.01383764052716352	
1.155	-0.060	0.025842364902648858	
1.16	-0.014	0.034723158769059646	
1.165	0.152	0.03832700794551222	
1.17	-0.049	0.03659365008708485	
1.175	-0.100	0.029146058731316343	
1.18	0.116	0.020169806715234214	
1.185	0.046	0.014285621551314291	
1.19	-0.104	0.010655453685487273	
1.195	0.039	0.009399441142140435	
1.2	0.116	0.00886746556405078	
1.205	-0.104	0.007828037124906304	
1.21	-0.063	0.0057039396608994505	
1.215	0.122	0.0003537712442230476	
1.22	-0.054	-0.004393835737669524	
1.225	-0.095	-0.006873433846350184	
1.23	0.133	-0.005823140881040704	
1.235	0.065	0.0003009355504357916	
1.24	-0.090	0.008640177765599874	
1.245	0.065	0.017392564828684766	
1.25	0.152	0.02488049467406402	
1.255	-0.063	0.03082499190808299	
1.26	0.027	0.037698422878600736	
1.265	0.243	0.04736751670371424	
1.27	0.032	0.06060986650720488	
1.275	-0.058	0.06910399865005162	
1.28	0.166	0.07116369635100875	
1.285	0.110	0.07031814776009228	
1.29	-0.054	0.06964683143539581	
1.295	0.159	0.07237321523425624	
1.3	0.236	0.08089129881989107	
1.305	-0.013	0.09185311353385578	
1.31	0.050	0.09866501961685721	
1.315	0.255	0.10233585834011764	
1.32	-0.008	0.10265942239013012	
1.325	-0.095	0.09310672317382387	
1.33	0.085	0.07209289515532101	
1.335	0.000	0.04635278523875738	
1.34	-0.150	0.018709126220020356	
1.345	-0.038	-0.005707571256726803	
1.35	0.055	-0.027134397126233074	
1.355	-0.130	-0.0420360038535478	
1.36	-0.093	-0.04835540005464667	
1.365	0.015	-0.05475827237623036	
1.37	-0.112	-0.06326710946516703	
1.375	-0.142	-0.06982836587300825	
1.38	0.030	-0.07098432810382965	
1.385	-0.032	-0.06965093966856423	
1.39	-0.162	-0.06822314574178645	
1.395	-0.054	-0.06574294785097096	
1.4	0.033	-0.06517733335803258	
1.405	-0.097	-0.06399632906164109	
1.41	0.061	-0.0493378506054662	
1.415	0.461	-0.007755514663842512	
1.42	0.475	0.07278030589475022	
1.425	0.573	0.19319032052775936	
1.43	0.884	0.3389938790401082	
1.435	0.745	0.48434415282291476	
1.44	0.328	0.5877367142386191	
1.445	0.301	0.6171665544309503	
1.45	0.226	0.5687933482803955	
1.455	-0.101	0.4630287259607296	
1.46	-0.092	0.32962288268675544	
1.465	0.036	0.19319199421050265	
1.47	-0.139	0.0758176537648586	
1.475	-0.210	-0.01478915355225233	
1.48	-0.072	-0.07906091356528142	
1.485	-0.136	-0.12462284412479141	
1.49	-0.260	-0.15514120870017725	
1.495	-0.135	-0.16979552218823463	
1.5	-0.083	-0.1762116144678078	
1.505	-0.208	-0.17691838731495596	
1.51	-0.153	-0.16835355216047276	
1.515	-0.002	-0.1538508155866541	
1.52	-0.126	-0.13921049592830936	
1.525	-0.173	-0.12378858319853442	
1.53	0.010	-0.10806093561817481	
1.535	-0.040	-0.0956453973971795	
1.54	-0.173	-0.08617280275329395	
1.545	-0.043	-0.07677631082777277	
1.55	0.044	-0.07019236845496338	
1.555	-0.127	-0.06497088636104287	
1.56	-0.049	-0.05535635590621428	
1.565	0.154	-0.04178387557614943	
1.57	-0.020	-0.02324487337450613	
1.575	-0.074	-0.006844876115881464	
1.58	0.162	0.00900875224312798	
1.585	0.111	0.02537731645851934	
1.59	-0.077	0.04074572300528452	
1.595	0.104	0.05124332899109804	
1.6	0.224	0.060874030205562736	
1.605	-0.006	0.0729811519476295	
1.61	0.049	0.08360566806074031	
1.615	0.230	0.09126093966232031	
1.62	0.038	0.09575556274676345	
1.625	-0.022	0.09511688756831248	
1.63	0.238	0.09502469590110098	
1.635	0.172	0.09940644368617145	
1.64	-0.051	0.10573037418699868	
1.645	0.113	0.10521923176599043	
1.65	0.209	0.10188552407027128	
1.655	-0.048	0.09600342312256613	
1.66	-0.017	0.08658200823507964	
1.665	0.136	0.07123508101066534	
1.67	-0.068	0.05179606974587904	
1.675	-0.136	0.028131523656831945	
1.68	-0.003	0.0019636023486217058	
1.685	-0.055	-0.02658901523350515	
1.69	-0.190	-0.05220389049484259	
1.695	-0.097	-0.071804075210942	
1.7	-0.046	-0.0901563813954763	
1.705	-0.202	-0.10695027033937488	
1.71	-0.152	-0.11739043637726145	
1.715	-0.003	-0.121798768887381	
1.72	-0.133	-0.12220167199468764	
1.725	-0.181	-0.11883530594871426	
1.73	0.001	-0.11103785499336445	
1.735	-0.071	-0.10461257325698413	
1.74	-0.207	-0.10121159863233922	
