Vernier Format 2
ecg7.txt 10/17/2025 11:28:8
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.489	-0.023	
0.005	-0.303	-0.089	
0.010	0.135	-0.149	
0.015	-0.382	-0.170	
0.020	-0.469	-0.200	
0.025	0.159	-0.231	
0.030	-0.152	-0.218	
0.035	-0.543	-0.203	
0.040	-0.091	-0.219	
0.045	0.046	-0.218	
0.050	-0.478	-0.199	
0.055	-0.268	-0.208	
0.060	0.249	-0.209	
0.065	-0.321	-0.175	
0.070	-0.422	-0.164	
0.075	0.286	-0.168	
0.080	-0.077	-0.136	
0.085	-0.460	-0.111	
0.090	0.043	-0.121	
0.095	0.170	-0.114	
0.100	-0.451	-0.092	
0.105	-0.253	-0.110	
0.110	0.274	-0.130	
0.115	-0.333	-0.117	
0.120	-0.486	-0.130	
0.125	0.065	-0.170	
0.130	-0.201	-0.184	
0.135	-0.573	-0.198	
0.140	-0.126	-0.237	
0.145	-0.028	-0.252	
0.150	-0.539	-0.246	
0.155	-0.337	-0.264	
0.160	0.104	-0.276	
0.165	-0.401	-0.255	
0.170	-0.507	-0.253	
0.175	0.155	-0.264	
0.180	0.049	-0.227	
0.185	-0.211	-0.165	
0.190	0.631	-0.092	
0.195	0.672	0.040	
0.200	-0.329	0.174	
0.205	-0.314	0.193	
0.210	-0.115	0.118	
0.215	-0.626	0.005	
0.220	-0.715	-0.147	
0.225	-0.140	-0.296	
0.230	-0.248	-0.372	
0.235	-0.565	-0.396	
0.240	-0.079	-0.402	
0.245	0.098	-0.360	
0.250	-0.451	-0.288	
0.255	-0.224	-0.247	
0.260	0.327	-0.207	
0.265	-0.303	-0.144	
0.270	-0.384	-0.117	
0.275	0.353	-0.115	
0.280	-0.025	-0.079	
0.285	-0.396	-0.051	
0.290	0.182	-0.057	
0.295	0.397	-0.033	
0.300	-0.330	0.015	
0.305	-0.082	0.020	
0.310	0.664	0.026	
0.315	-0.082	0.079	
0.320	-0.147	0.106	
0.325	0.849	0.122	
0.330	0.509	0.202	
0.335	-0.143	0.284	
0.340	0.654	0.312	
0.345	0.867	0.362	
0.350	-0.097	0.426	
0.355	0.190	0.418	
0.360	0.881	0.391	
0.365	-0.034	0.394	
0.370	-0.237	0.349	
0.375	0.497	0.262	
0.380	0.017	0.207	
0.385	-0.448	0.145	
0.390	-0.019	0.047	
0.395	0.123	-0.027	
0.400	-0.465	-0.069	
0.405	-0.271	-0.127	
0.410	0.211	-0.169	
0.415	-0.372	-0.168	
0.420	-0.468	-0.183	
0.425	0.164	-0.209	
0.430	-0.158	-0.197	
0.435	-0.532	-0.187	
0.440	-0.063	-0.206	
0.445	0.049	-0.206	
0.450	-0.506	-0.189	
0.455	-0.294	-0.204	
0.460	0.214	-0.215	
0.465	-0.364	-0.191	
