Time	Potential	EKG	Unnamed: 3
0.0	0.311	0.017910323022787118	
0.005	-0.540	0.013614994895343003	
0.01	-0.357	-0.02844580827155716	
0.015	0.341	-0.08319563277101955	
0.02	-0.367	-0.11393329353447525	
0.025	-0.630	-0.14690507182376902	
0.03	0.070	-0.19485460677043956	
0.035	-0.136	-0.22810830348362415	
0.04	-0.675	-0.24577011361457332	
0.045	-0.151	-0.2658759606464778	
0.05	0.120	-0.274287052088943	
0.055	-0.605	-0.26680960586794156	
0.06	-0.433	-0.26624621855775965	
0.065	0.198	-0.2713728272602833	
0.07	-0.428	-0.26629091529069127	
0.075	-0.656	-0.2664142127167788	
0.08	0.029	-0.28060867022157515	
0.085	-0.194	-0.2904457580797338	
0.09	-0.752	-0.2983668526375727	
0.095	-0.213	-0.3135533495917982	
0.1	0.024	-0.32397720684691633	
0.105	-0.683	-0.3259117412497434	
0.11	-0.521	-0.3338264803472246	
0.115	0.030	-0.34797800702737713	
0.12	-0.528	-0.359588104892551	
0.125	-0.770	-0.37356278093170825	
0.13	-0.104	-0.39361896770160837	
0.135	-0.277	-0.4079407742007169	
0.14	-0.811	-0.4146153159903539	
0.145	-0.282	-0.41726395795451643	
0.15	-0.035	-0.414946850566388	
0.155	-0.712	-0.4058265636658383	
0.16	-0.538	-0.39825797194670065	
0.165	0.032	-0.3948193975205212	
0.17	-0.535	-0.3918864746160199	
0.175	-0.723	-0.39150969595195234	
0.18	0.091	-0.3857304843909386	
0.185	0.026	-0.3565333262245308	
0.19	-0.428	-0.2966974882196409	
0.195	0.392	-0.20695972448544095	
0.2	0.776	-0.08103266895418978	
0.205	-0.424	-0.3857304843909386	
0.21	-0.404	-0.3857304843909386	
0.215	-0.011	-0.3565333262245308	
0.22	-0.654	-0.05008303714789956	
0.225	-0.887	-0.18730432813349215	
0.23	-0.177	-0.3180746095924505	
0.235	-0.303	-0.41716109952156777	
0.24	-0.814	-0.4715097883934681	
0.245	-0.253	-0.48381036325759175	
0.25	0.067	-0.46736782857724335	
0.255	-0.633	-0.4301984995835435	
0.26	-0.457	-0.38693100402453195	
0.265	0.232	-0.34509342469492427	
0.27	-0.412	-0.3082915563127122	
0.275	-0.637	-0.28193041484104076	
0.28	0.093	-0.2665060605975229	
0.285	-0.133	-0.2599599139394465	
0.29	-0.672	-0.25727561569826557	
0.295	-0.117	-0.2525952546440902	
0.3	0.251	-0.24277719296643693	
0.305	-0.547	-0.22479410555895443	
0.31	-0.355	-0.20615523021783128	
0.315	0.433	-0.18736432074424575	
0.32	-0.303	-0.16350537701075446	
0.325	-0.531	-0.14550400811815617	
0.33	0.326	-0.13294028022260124	
0.335	0.027	-0.1197329920972141	
0.34	-0.552	-0.10895530205583331	
0.345	0.021	-0.10141432107859488	
0.35	0.537	-0.08723556042759659	
0.355	-0.403	-0.056275056093604364	
0.36	-0.203	-0.02938101512322105	
0.365	0.747	-0.002791323886502956	
0.37	-0.153	0.03337591534797193	
0.375	-0.415	0.05403682692969156	
0.38	0.541	0.059403218750691954	
0.385	0.198	0.06748291437272201	
0.39	-0.491	0.06863579867836306	
0.395	0.068	0.053591762683634483	
0.4	0.505	0.036081497756041095	
0.405	-0.465	0.02256465600630162	
0.41	-0.326	0.0014255063708558486	
0.415	0.344	-0.033601428793053376	
0.42	-0.392	-0.07756550748013283	
0.425	-0.637	-0.12612767425677573	
0.43	0.044	-0.17555671039735335	
0.435	-0.183	-0.22540089896640908	
0.44	-0.750	-0.26843687150581313	
0.445	-0.227	-0.29742628503696755	
0.45	0.052	-0.3188235454376782	
0.455	-0.668	-0.33248265475599603	
0.46	-0.508	-0.33661295075647163	
0.465	0.131	-0.3364850291349702	
0.47	-0.470	-0.3385948619252017	
0.475	-0.698	-0.3382356703104845	
0.48	-0.011	-0.3364358650223425	
0.485	-0.185	-0.3393658685626787	
0.49	-0.721	-0.3406164849204512	
0.495	-0.195	-0.3303459748313714	
0.5	0.105	-0.319676284020022	
0.505	-0.639	-0.3096940151028773	
0.51	-0.460	-0.2986542347109373	
0.515	0.232	-0.28822274160659234	
0.52	-0.418	-0.2807254023597717	
0.525	-0.654	-0.2754474954362715	
0.53	0.049	-0.27215934952911636	
0.535	-0.143	-0.27731910908049273	
0.54	-0.701	-0.28395441040942093	
0.545	-0.194	-0.28318359000440807	
0.55	0.149	-0.2814170437946434	
0.555	-0.608	-0.2790319052686578	
0.56	-0.441	-0.2717098739619276	
0.565	0.270	-0.2618198588039664	
0.57	-0.406	-0.2549223996240374	
0.575	-0.651	-0.2517554533042485	
0.58	0.094	-0.2507550201201416	
0.585	-0.128	-0.25624463121275165	
0.59	-0.680	-0.26242744961636566	
0.595	-0.157	-0.2599634016462488	
0.6	0.213	-0.2560551710904691	
0.605	-0.582	-0.24848834145264148	
0.61	-0.413	-0.23580015510215532	
0.615	0.357	-0.22328788052141865	
0.62	-0.349	-0.21116526786514206	
0.625	-0.595	-0.20115034191624637	
0.63	0.213	-0.19224887114139744	
0.635	-0.050	-0.18815608786586066	
0.64	-0.624	-0.18700941139253346	
