Vernier Format 2
ecg2.txt 10/17/2025 10:16:58
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.064	0.003	
0.005	0.355	0.026	
0.010	-0.593	0.041	
0.015	-0.279	-0.010	
0.020	0.610	-0.059	
0.025	-0.389	-0.046	
0.030	-0.531	-0.064	
0.035	0.482	-0.105	
0.040	-0.072	-0.090	
0.045	-0.634	-0.079	
0.050	0.131	-0.115	
0.055	0.442	-0.108	
0.060	-0.553	-0.064	
0.065	-0.264	-0.073	
0.070	0.590	-0.087	
0.075	-0.375	-0.052	
0.080	-0.506	-0.057	
0.085	0.492	-0.090	
0.090	-0.055	-0.070	
0.095	-0.610	-0.058	
0.100	0.157	-0.093	
0.105	0.491	-0.084	
0.110	-0.505	-0.035	
0.115	-0.198	-0.037	
0.120	0.780	-0.037	
0.125	-0.273	0.020	
0.130	-0.439	0.035	
0.135	0.622	0.011	
0.140	0.079	0.039	
0.145	-0.558	0.055	
0.150	0.241	0.016	
0.155	0.562	0.017	
0.160	-0.483	0.054	
0.165	-0.201	0.035	
0.170	0.736	0.012	
0.175	-0.302	0.043	
0.180	-0.470	0.035	
0.185	0.611	-0.004	
0.190	0.096	0.016	
0.195	-0.543	0.035	
0.200	0.258	0.004	
0.205	0.622	0.016	
0.210	-0.436	0.068	
0.215	-0.171	0.061	
0.220	0.776	0.047	
0.225	-0.270	0.082	
0.230	-0.456	0.074	
0.235	0.582	0.029	
0.240	0.120	0.040	
0.245	-0.499	0.053	
0.250	0.369	0.026	
0.255	0.744	0.053	
0.260	-0.407	0.124	
0.265	-0.192	0.123	
0.270	0.736	0.098	
0.275	-0.268	0.114	
0.280	-0.439	0.090	
0.285	0.627	0.037	
0.290	0.175	0.050	
0.295	-0.496	0.070	
0.300	0.300	0.042	
0.305	0.663	0.057	
0.310	-0.415	0.109	
0.315	-0.157	0.100	
0.320	0.819	0.081	
0.325	-0.218	0.115	
0.330	-0.416	0.109	
0.335	0.631	0.066	
0.340	0.190	0.081	
0.345	-0.505	0.097	
0.350	0.242	0.060	
0.355	0.614	0.058	
0.360	-0.418	0.095	
0.365	-0.166	0.078	
0.370	0.809	0.058	
0.375	-0.204	0.095	
0.380	-0.407	0.095	
0.385	0.640	0.060	
0.390	0.218	0.082	
0.395	-0.477	0.106	
0.400	0.276	0.076	
0.405	0.678	0.083	
0.410	-0.401	0.127	
0.415	-0.177	0.112	
0.420	0.796	0.086	
0.425	-0.191	0.113	
0.430	-0.418	0.106	
0.435	0.608	0.063	
0.440	0.181	0.076	
0.445	-0.500	0.090	
0.450	0.206	0.052	
0.455	0.639	0.049	
0.460	-0.404	0.088	
0.465	-0.200	0.074	
0.470	0.741	0.051	
0.475	-0.218	0.079	
0.480	-0.435	0.072	
0.485	0.588	0.033	
