Vernier Format 2
ecg4b.txt 10/17/2025 11:5:1
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.791	0.036	
0.005	-0.134	0.115	
0.010	1.331	0.217	
0.015	0.637	0.374	
0.020	-0.784	0.466	
0.025	-0.314	0.368	
0.030	0.228	0.197	
0.035	-0.790	0.047	
0.040	-0.634	-0.127	
0.045	0.611	-0.256	
0.050	-0.308	-0.259	
0.055	-0.718	-0.246	
0.060	0.535	-0.250	
0.065	0.333	-0.174	
0.070	-0.713	-0.082	
0.075	-0.053	-0.075	
0.080	0.893	-0.054	
0.085	-0.503	0.023	
0.090	-0.395	0.033	
0.095	1.005	0.019	
0.100	-0.152	0.076	
0.105	-0.605	0.094	
0.110	0.771	0.059	
0.115	0.571	0.100	
0.120	-0.593	0.163	
0.125	0.252	0.147	
0.130	1.206	0.164	
0.135	-0.355	0.248	
0.140	-0.231	0.256	
0.145	1.391	0.239	
0.150	0.167	0.312	
0.155	-0.393	0.352	
0.160	1.258	0.336	
0.165	1.115	0.415	
0.170	-0.330	0.524	
0.175	0.718	0.534	
0.180	1.600	0.566	
0.185	-0.196	0.648	
0.190	-0.143	0.619	
0.195	1.382	0.531	
0.200	0.049	0.513	
0.205	-0.521	0.454	
0.210	0.765	0.331	
0.215	0.439	0.276	
0.220	-0.698	0.241	
0.225	-0.085	0.132	
0.230	0.706	0.046	
0.235	-0.613	0.028	
0.240	-0.546	-0.035	
0.245	0.684	-0.106	
0.250	-0.305	-0.098	
0.255	-0.774	-0.108	
0.260	0.361	-0.162	
0.265	0.204	-0.152	
0.270	-0.767	-0.119	
0.275	-0.141	-0.148	
0.280	0.696	-0.152	
0.285	-0.607	-0.096	
0.290	-0.506	-0.098	
0.295	0.783	-0.119	
0.300	-0.247	-0.070	
0.305	-0.720	-0.053	
0.310	0.490	-0.090	
0.315	0.346	-0.063	
0.320	-0.683	-0.016	
0.325	-0.002	-0.037	
0.330	0.933	-0.029	
0.335	-0.491	0.044	
0.340	-0.422	0.050	
0.345	0.909	0.024	
0.350	-0.190	0.062	
0.355	-0.666	0.063	
0.360	0.571	0.008	
0.365	0.391	0.020	
0.370	-0.709	0.051	
0.375	-0.080	0.007	
0.380	0.788	-0.021	
0.385	-0.533	0.014	
0.390	-0.443	-0.004	
0.395	0.866	-0.038	
0.400	-0.228	0.001	
0.405	-0.681	0.007	
0.410	0.577	-0.037	
0.415	0.449	-0.010	
0.420	-0.625	0.045	
0.425	0.104	0.031	
0.430	1.043	0.048	
0.435	-0.425	0.128	
0.440	-0.344	0.137	
0.445	1.101	0.116	
0.450	-0.056	0.167	
0.455	-0.556	0.181	
0.460	0.809	0.138	
0.465	0.640	0.170	
0.470	-0.588	0.224	
0.475	0.100	0.189	
0.480	0.924	0.161	
