Vernier Format 2
reposo.txt 10/17/2025 10:7:57
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.209	0.010	
0.005	-0.203	0.023	
0.010	-0.185	0.007	
0.015	0.238	-0.017	
0.020	-0.117	-0.018	
0.025	-0.261	-0.027	
0.030	0.168	-0.048	
0.035	0.125	-0.040	
0.040	-0.249	-0.021	
0.045	-0.044	-0.027	
0.050	0.215	-0.031	
0.055	-0.194	-0.018	
0.060	-0.151	-0.023	
0.065	0.271	-0.032	
0.070	-0.066	-0.015	
0.075	-0.233	-0.009	
0.080	0.137	-0.022	
0.085	0.102	-0.018	
0.090	-0.232	-0.007	
0.095	-0.023	-0.019	
0.100	0.247	-0.022	
0.105	-0.185	-0.007	
0.110	-0.172	-0.011	
0.115	0.267	-0.024	
0.120	-0.050	-0.011	
0.125	-0.218	-0.005	
0.130	0.218	-0.014	
0.135	0.163	0.002	
0.140	-0.226	0.024	
0.145	0.026	0.019	
0.150	0.302	0.018	
0.155	-0.162	0.036	
0.160	-0.124	0.032	
0.165	0.355	0.021	
0.170	0.001	0.039	
0.175	-0.171	0.050	
0.180	0.294	0.043	
0.185	0.212	0.061	
0.190	-0.177	0.084	
0.195	0.097	0.077	
0.200	0.344	0.077	
0.205	-0.127	0.093	
0.210	-0.090	0.083	
0.215	0.387	0.067	
0.220	0.023	0.079	
0.225	-0.169	0.083	
0.230	0.297	0.069	
0.235	0.221	0.079	
0.240	-0.191	0.094	
0.245	0.093	0.082	
0.250	0.372	0.077	
0.255	-0.128	0.093	
0.260	-0.113	0.084	
0.265	0.361	0.065	
0.270	0.001	0.071	
0.275	-0.183	0.070	
0.280	0.290	0.053	
0.285	0.235	0.064	
0.290	-0.194	0.083	
0.295	0.096	0.075	
0.300	0.366	0.074	
0.305	-0.099	0.093	
0.310	-0.058	0.091	
0.315	0.444	0.083	
0.320	0.068	0.106	
0.325	-0.145	0.117	
0.330	0.351	0.107	
0.335	0.294	0.122	
0.340	-0.143	0.143	
0.345	0.148	0.134	
0.350	0.381	0.130	
0.355	-0.119	0.140	
0.360	-0.110	0.121	
0.365	0.305	0.088	
0.370	-0.099	0.074	
0.375	-0.246	0.047	
0.380	0.140	0.004	
0.385	0.067	-0.013	
0.390	-0.273	-0.019	
0.395	-0.064	-0.043	
0.400	0.178	-0.058	
0.405	-0.198	-0.050	
0.410	-0.154	-0.054	
0.415	0.285	-0.056	
0.420	-0.095	-0.032	
0.425	-0.264	-0.022	
0.430	0.101	-0.037	
0.435	0.079	-0.037	
0.440	-0.178	-0.026	
0.445	0.386	-0.011	
0.450	0.942	0.069	
0.455	0.672	0.231	
0.460	0.761	0.409	
0.465	0.991	0.568	
0.470	0.161	0.675	
0.475	-0.325	0.649	
0.480	-0.186	0.485	
