Time	Potential	EKG	Unnamed: 3
0.0	0.209	0.012735389165780686	
0.005	-0.203	0.01811523253069681	
0.01	-0.185	0.007051461207979774	
0.015	0.238	-0.011912940396533242	
0.02	-0.117	-0.02113023386745078	
0.025	-0.261	-0.030415480476452282	
0.03	0.168	-0.042654961470247776	
0.035	0.125	-0.03968002677909896	
0.04	-0.249	-0.026738231281014144	
0.045	-0.044	-0.023835874284447993	
0.05	0.215	-0.026999327165477666	
0.055	-0.194	-0.023724610737485274	
0.06	-0.151	-0.023622709247223227	
0.065	0.271	-0.025705756615530755	
0.07	-0.066	-0.018219503768079688	
0.075	-0.233	-0.013504820230844018	
0.08	0.137	-0.01592345952663555	
0.085	0.102	-0.017111017576214835	
0.09	-0.232	-0.013785343752085908	
0.095	-0.023	-0.015731652860104695	
0.1	0.247	-0.01705816812649493	
0.105	-0.185	-0.013394422226580206	
0.11	-0.172	-0.012113775086291353	
0.115	0.267	-0.01677443555376141	
0.12	-0.050	-0.014323271009941702	
0.125	-0.218	-0.010322425896051953	
0.13	0.218	-0.007313610007093482	
0.135	0.163	0.003302313317042368	
0.14	-0.226	0.016382129074599128	
0.145	0.026	0.022377116129553974	
0.15	0.302	0.023658811109409806	
0.155	-0.162	0.029062806336922827	
0.16	-0.124	0.03053888133744188	
0.165	0.355	0.0289516975884507	
0.17	0.001	0.03556569777566355	
0.175	-0.171	0.04406262671014839	
0.18	0.294	0.050161118122285214	
0.185	0.212	0.0625876978360473	
0.19	-0.177	0.07576412800314339	
0.195	0.097	0.0804833782636313	
0.2	0.344	0.08317028286938294	
0.205	-0.127	0.08565565634889821	
0.21	-0.090	0.08130172379781178	
0.215	0.387	0.0754677245518343	
0.22	0.023	0.0754824764239598	
0.225	-0.169	0.07663280701157468	
0.23	0.297	0.07648723746312551	
0.235	0.221	0.08079483633328444	
0.24	-0.191	0.08534267547247691	
0.245	0.093	0.08553883575758153	
0.25	0.372	0.08353089898597835	
0.255	-0.128	0.08539936072202553	
0.26	-0.113	0.08212200827657036	
0.265	0.361	0.07380300406369217	
0.27	0.001	0.06744310325828956	
0.275	-0.183	0.0633512047709316	
0.28	0.290	0.060695483328416566	
0.285	0.235	0.06593149646172217	
0.29	-0.194	0.0740772989957605	
0.295	0.096	0.07857489920799902	
0.3	0.366	0.08074517708022144	
0.305	-0.099	0.08523887738321648	
0.31	-0.058	0.08903197402231991	
0.315	0.444	0.09200705047675846	
0.32	0.068	0.10240756812584918	
0.325	-0.145	0.11019101276023191	
0.33	0.351	0.11480715710726415	
0.335	0.294	0.12399771577890636	
0.34	-0.143	0.13394976706026068	
0.345	0.148	0.13758680746923457	
0.35	0.381	0.13683128016739454	
0.355	-0.119	0.13218264927869405	
0.36	-0.110	0.11898712592857252	
0.365	0.305	0.09704861724254496	
0.37	-0.099	0.07041103716507797	
0.375	-0.246	0.04016662470830618	
0.38	0.140	0.011813574711141365	
0.385	0.067	-0.010988000606904117	
0.39	-0.273	-0.02804465113646947	
0.395	-0.064	-0.03941499869369931	
0.4	0.178	-0.05117127215147246	
0.405	-0.198	-0.057802403633600376	
0.41	-0.154	-0.055990069540486215	
0.415	0.285	-0.046951976052094654	
0.42	-0.095	-0.03560322787954244	
0.425	-0.264	-0.028828803412574967	
0.43	0.101	-0.029184066181552535	
0.435	0.079	-0.0350132436777265	
0.44	-0.178	-0.03504108554991857	
0.445	0.386	-0.007355789196515123	
0.45	0.942	0.07587469252529651	
0.455	0.672	0.22321106183960085	
0.46	0.761	0.4070064539289879	
0.465	0.991	0.5769970387979662	
0.47	0.161	0.6713145762386232	
0.475	-0.325	0.6420927768729296	
0.48	-0.186	0.4927515619273206	
0.485	-0.252	0.27300090062832477	
0.49	-0.474	0.05302809011339066	
0.495	-0.233	-0.11436847216958364	
0.5	-0.017	-0.22218036526696702	
0.505	-0.277	-0.27476655893657387	
0.51	-0.224	-0.2749413573371722	
0.515	0.154	-0.24297191939713975	
0.52	-0.151	-0.20163020393833986	
0.525	-0.291	-0.16180243062432806	
0.53	0.131	-0.12515955458495934	
0.535	0.046	-0.09504329854393337	
0.54	-0.262	-0.07207892011804398	
0.545	-0.053	-0.056355250105317764	
0.55	0.177	-0.04916833716772343	
0.555	-0.215	-0.046889469266039985	
0.56	-0.148	-0.044965582902732434	
0.565	0.395	-0.03286260325881342	
0.57	-0.015	-0.008660529798249716	
0.575	-0.235	0.013110308785548714	
0.58	0.171	0.021900851131674396	
0.585	0.101	0.019993682918835673	
0.59	-0.256	0.012853652177038545	
0.595	-0.044	0.002656404277087706	
0.6	0.194	-0.012114176719751627	
0.605	-0.206	-0.02592005155665361	
0.61	-0.153	-0.03398222995038172	
0.615	0.290	-0.0328308881650395	
0.62	-0.056	-0.02667933279587023	
0.625	-0.212	-0.017900814468587413	
0.63	0.226	-0.006044327197546128	
0.635	0.165	0.006992386422133736	
0.64	-0.197	0.020802476146679686	
0.645	0.120	0.03569379106745105	
0.65	0.396	0.053930217613100205	
0.655	-0.089	0.0760231573347333	
0.66	-0.031	0.09298998250121066	
0.665	0.489	0.10821704054808844	
0.67	0.119	0.12832092423854688	
0.675	-0.105	0.145058861706313	
0.68	0.459	0.15895564298108053	
0.685	0.415	0.18102952679043144	
0.69	-0.049	0.20781809217243982	
0.695	0.340	0.22963509953227124	
0.7	0.588	0.2519087735340355	
0.705	0.046	0.2731164774779355	
0.71	0.119	0.2819629210786866	
0.715	0.620	0.28408933170774214	
0.72	0.247	0.28943071057984937	
0.725	-0.020	0.29216002950691183	
0.73	0.503	0.28674861750963276	
0.735	0.361	0.2820193261403726	
0.74	-0.131	0.27105814278295903	
0.745	0.122	0.2414749026288455	
0.75	0.285	0.19870337998739512	
0.755	-0.206	0.14841862268234052	
0.76	-0.209	0.09201660914858649	
0.765	0.076	0.02972413247725303	
0.77	-0.235	-0.03541201832032135	
0.775	-0.389	-0.09453561352148333	
0.78	-0.120	-0.14457641774132823	
0.785	-0.194	-0.19108772458749482	
0.79	-0.470	-0.23153401044712746	
0.795	-0.291	-0.2586181346623445	
0.8	-0.160	-0.2826043346512811	
0.805	-0.454	-0.30530403755258306	
0.81	-0.416	-0.3178365336617902	
0.815	-0.156	-0.32459223457222147	
0.82	-0.332	-0.33236493999344596	
0.825	-0.441	-0.3302801671460486	
0.83	-0.149	-0.3177493668576398	
0.835	-0.191	-0.30622222428277135	
