Time	Potential	EKG	Unnamed: 3
0.0	0.441	0.025159787930375772	
0.005	0.097	0.07190345500253165	
0.01	-0.294	0.0943704300946572	
0.015	0.198	0.08573329124155513	
0.02	0.351	0.08267448649836279	
0.025	-0.257	0.08560680473603441	
0.03	-0.040	0.07316705153621393	
0.035	0.568	0.06672816060951804	
0.04	-0.115	0.08353318982664254	
0.045	-0.203	0.08772111693540763	
0.05	0.429	0.0804319644284264	
0.055	0.062	0.08277324176369993	
0.06	-0.321	0.07533142789809766	
0.065	0.171	0.05408803341233654	
0.07	0.369	0.08267448649836279	
0.075	-0.258	0.051677302779801745	
0.08	-0.040	0.049262837781808455	
0.085	0.562	0.05348086704870583	
0.09	-0.106	0.07439850608489965	
0.095	-0.208	0.083748613570149	
0.1	0.461	0.08307161416691211	
0.105	0.116	0.09071544019169865	
0.11	-0.251	0.09383809060441613	
0.115	0.354	0.09503819795270542	
0.12	0.518	0.11565076408394395	
0.125	-0.213	0.14528714897661912	
0.13	-0.008	0.152258714365363	
0.135	0.571	0.14774576776295384	
0.14	-0.121	0.14665060675415936	
0.145	-0.223	0.13100829833140576	
0.15	0.382	0.10518963499939957	
0.155	0.056	0.08374931874909053	
0.16	-0.341	0.06079113750994578	
0.165	0.091	0.03260874887524998	
0.17	0.288	0.012264447631309731	
0.175	-0.278	0.001404119888560526	
0.18	-0.097	-0.0027513779325168946	
0.185	0.434	-0.0013922632070891808	
0.19	-0.177	0.006152310545998361	
0.195	-0.274	0.007497048403533431	
0.2	0.337	0.004978595385106796	
0.205	0.061	0.0067664916630927	
0.21	-0.313	0.0070269529526472505	
0.215	0.143	0.00805429574943178	
0.22	0.357	0.014733460866561273	
0.225	-0.255	0.025686974709482637	
0.23	-0.042	0.03621185258857604	
0.235	0.568	0.05031497507215126	
0.24	-0.020	0.07577736643166336	
0.245	-0.074	0.10305470454719624	
0.25	0.834	0.14562089691149535	
0.255	0.620	0.2228581629820258	
0.26	-0.077	0.30639203063252973	
0.265	0.233	0.34526974289292417	
0.27	0.085	0.31506810475095104	
0.275	-0.535	0.21819073836581238	
0.28	-0.445	0.08314552014724388	
0.285	-0.118	-0.06320942294880555	
0.29	-0.425	-0.19844068167573425	
0.295	-0.413	-0.283197525423172	
0.3	0.230	-0.30192349661042805	
0.305	0.030	-0.27114734352212055	
0.31	-0.318	-0.21305641491137461	
0.315	0.226	-0.13935808250420909	
0.32	0.434	-0.059558505682669585	
0.325	-0.211	0.012668898329834515	
0.33	-0.019	0.06509869539565558	
0.335	0.657	0.10435056286557418	
0.34	-0.014	0.13924948059294293	
0.345	-0.159	0.16133638937107048	
0.35	0.557	0.1715280333859897	
0.355	0.270	0.1809616674759928	
0.36	-0.219	0.18641211603359736	
0.365	0.327	0.18681529576232697	
0.37	0.562	0.18983170069934607	
0.375	-0.177	0.1953041320400909	
0.38	-0.005	0.1919644872406338	
0.385	0.602	0.18076647073849603	
0.39	-0.055	0.17014196114164992	
0.395	-0.155	0.15703445452192044	
0.4	0.551	0.14982030653425815	
0.405	0.218	0.15209204448805586	
0.41	-0.274	0.15107399491326706	
0.415	0.266	0.14487470248597947	
0.42	0.537	0.14311245637205922	
0.425	-0.174	0.15011285644079886	
0.43	0.032	0.15681952778060299	
0.435	0.690	0.16402613148304668	
0.44	0.047	0.1801551330368089	
0.445	-0.126	0.19379486489304942	
0.45	0.618	0.2039080115516875	
0.455	0.305	0.21525162157515562	
0.46	-0.222	0.22092285100342132	
0.465	0.327	0.21679517996896586	
0.47	0.576	0.21226956907380687	
0.475	-0.135	0.2131178640903282	
0.48	0.073	0.21267608742749103	
0.485	0.721	0.21407283325065132	
0.49	-0.017	0.21927237786998155	
0.495	-0.173	0.21369401839270497	
0.5	0.545	0.19881197169466364	
0.505	0.232	0.18840252693126222	
0.51	-0.272	0.17497581432659448	
0.515	0.149	0.15360009393907337	
0.52	0.328	0.12229092120409157	
0.525	-0.336	0.08731385053089288	
0.53	-0.184	0.04954238848069966	
0.535	0.362	0.012927379783647419	
0.54	-0.211	-0.01649245267551299	
0.545	-0.361	-0.03925768368355935	
0.55	0.119	-0.061446863432674054	
0.555	-0.115	-0.09151327687654989	
0.56	-0.468	-0.12382045982503757	
0.565	-0.093	-0.14457203775148297	
0.57	0.093	-0.16277519745203478	
0.575	-0.402	-0.17447646447999593	
0.58	-0.252	-0.17350257071790198	
0.585	0.229	-0.16421498313616706	
0.59	-0.265	-0.157382573163519	
0.595	-0.381	-0.14822477954860447	
0.6	0.149	-0.1375454832078217	
0.605	-0.064	-0.13346435317261668	
0.61	-0.416	-0.13179328217047148	
0.615	-0.031	-0.12563922532381044	
0.62	0.191	-0.11973563992915812	
0.625	-0.336	-0.11446740111113747	
0.63	-0.187	-0.10157397682045943	
0.635	0.305	-0.08715374361217812	
0.64	-0.202	-0.07836046841494759	
0.645	-0.315	-0.07133578457076964	
0.65	0.333	-0.05747118279084906	
0.655	0.102	-0.039363176808397286	
0.66	-0.336	-0.021951859943669244	
0.665	0.085	-0.00665747303645709	
0.67	0.363	0.0034490607139232962	
0.675	-0.252	0.013426828055557779	
0.68	-0.107	0.024287411217864808	
0.685	0.498	0.03504505096484142	
0.69	-0.113	0.04466457152260772	
0.695	-0.260	0.04844007903695545	
0.7	0.365	0.04962617996687864	
0.705	0.107	0.047790791025274296	
0.71	-0.310	0.04185089058329475	
0.715	0.110	0.0383139417767659	
0.72	0.360	0.03367615656353195	
0.725	-0.248	0.032319961758048604	
0.73	-0.101	0.03412417529742766	
0.735	0.522	0.04026150077041189	
