Vernier Format 2
ecg6.txt 10/18/2025 9:10:28
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.611	0.028	
0.005	0.845	0.132	
0.010	0.811	0.302	
0.015	0.502	0.467	
0.020	0.565	0.572	
0.025	0.669	0.624	
0.030	0.391	0.640	
0.035	0.209	0.607	
0.040	0.336	0.531	
0.045	0.151	0.443	
0.050	-0.045	0.346	
0.055	0.087	0.241	
0.060	0.044	0.153	
0.065	-0.106	0.085	
0.070	-0.066	0.025	
0.075	0.087	-0.016	
0.080	-0.032	-0.030	
0.085	-0.097	-0.035	
0.090	-0.046	-0.043	
0.095	-0.139	-0.054	
0.100	-0.084	-0.069	
0.105	0.152	-0.070	
0.110	0.139	-0.042	
0.115	-0.089	-0.004	
0.120	-0.097	0.009	
0.125	-0.060	-0.002	
0.130	-0.153	-0.024	
0.135	-0.165	-0.055	
0.140	-0.100	-0.087	
0.145	-0.196	-0.113	
0.150	-0.277	-0.140	
0.155	-0.188	-0.171	
0.160	-0.132	-0.190	
0.165	-0.226	-0.196	
0.170	-0.257	-0.202	
0.175	-0.208	-0.211	
0.180	-0.303	-0.222	
0.185	-0.260	-0.236	
0.190	0.082	-0.233	
0.195	0.324	-0.178	
0.200	0.295	-0.071	
0.205	0.263	0.049	
0.210	-0.087	0.133	
0.215	-0.393	0.135	
0.220	-0.494	0.049	
0.225	-0.508	-0.090	
0.230	-0.576	-0.238	
0.235	-0.491	-0.366	
0.240	-0.326	-0.448	
0.245	-0.326	-0.474	
0.250	-0.232	-0.455	
0.255	0.003	-0.398	
0.260	0.062	-0.304	
0.265	-0.087	-0.200	
0.270	0.021	-0.116	
0.275	0.218	-0.045	
0.280	0.049	0.021	
0.285	0.007	0.065	
0.290	0.165	0.085	
0.295	0.165	0.102	
0.300	0.093	0.119	
0.305	0.281	0.134	
0.310	0.339	0.163	
0.315	0.256	0.203	
0.320	0.427	0.244	
0.325	0.605	0.299	
0.330	0.403	0.364	
0.335	0.440	0.415	
0.340	0.617	0.451	
0.345	0.551	0.488	
0.350	0.473	0.517	
0.355	0.570	0.532	
0.360	0.541	0.540	
0.365	0.295	0.534	
0.370	0.241	0.496	
0.375	0.243	0.433	
0.380	-0.029	0.354	
0.385	-0.083	0.254	
0.390	-0.008	0.149	
0.395	-0.101	0.061	
0.400	-0.179	-0.012	
0.405	-0.136	-0.073	
0.410	-0.129	-0.116	
0.415	-0.225	-0.145	
0.420	-0.150	-0.166	
0.425	-0.089	-0.174	
0.430	-0.152	-0.168	
0.435	-0.173	-0.160	
0.440	-0.058	-0.152	
0.445	-0.107	-0.139	
0.450	-0.200	-0.128	
0.455	-0.145	-0.130	
0.460	-0.127	-0.135	
0.465	-0.199	-0.140	
0.470	-0.148	-0.148	
0.475	-0.132	-0.153	
