Time	Potential	EKG	Unnamed: 3
0.0	0.611	0.027387166081798923	
0.005	0.845	0.1336168813549192	
0.01	0.811	0.3018209940731961	
0.015	0.502	0.46540518878107306	
0.02	0.565	0.5730087338935215	
0.025	0.669	0.6249862309419824	
0.03	0.391	0.638325162063365	
0.035	0.209	0.6068935201029797	
0.04	0.336	0.5327244415320735	
0.045	0.151	0.4420611655692314	
0.05	-0.045	0.34477803094263393	
0.055	0.087	0.24268754816229593	
0.06	0.044	0.15325725608291374	
0.065	-0.106	0.08315094632384168	
0.07	-0.066	0.02587216666251199	
0.075	0.087	-0.014618206278655852	
0.08	-0.032	-0.03168820275634287	
0.085	-0.097	-0.035357580523962734	
0.09	-0.046	-0.041069339911132145	
0.095	-0.139	-0.05482849006294504	
0.1	-0.084	-0.07046426590503305	
0.105	0.152	-0.06823949439679806	
0.11	0.139	-0.041537263704471986	
0.115	-0.089	-0.0060523542692936865	
0.12	-0.097	0.009744866719944248	
0.125	-0.060	-0.00042040138729887997	
0.13	-0.153	-0.025738315684783658	
0.135	-0.165	-0.05554222653557483	
0.14	-0.100	-0.08490991516952401	
0.145	-0.196	-0.11372586789193649	
0.15	-0.277	-0.14167036314993373	
0.155	-0.188	-0.16924495380382687	
0.16	-0.132	-0.18937452684718492	
0.165	-0.226	-0.1981367400373813	
0.17	-0.257	-0.2013123699237256	
0.175	-0.208	-0.2092709513428021	
0.18	-0.303	-0.22376983965362274	
0.185	-0.260	-0.23666016409754845	
0.19	0.082	-0.23077788814585046	
0.195	0.324	-0.17863123957575486	
0.2	0.295	-0.07276391509828888	
0.205	0.263	0.050766638700889606	
0.21	-0.087	0.1336238178750357	
0.215	-0.393	0.13268675336173572	
0.22	-0.494	0.04966689935179309	
0.225	-0.508	-0.08815098480780247	
0.23	-0.576	-0.23984153261006863	
0.235	-0.491	-0.36669611055241064	
0.24	-0.326	-0.44562280998067644	
0.245	-0.326	-0.4746845689828946	
0.25	-0.232	-0.456922167129837	
0.255	0.003	-0.3960513991976158	
0.26	0.062	-0.3031981036897333	
0.265	-0.087	-0.2024586657743404	
0.27	0.021	-0.11532372044339972	
0.275	0.218	-0.04295293301848764	
0.28	0.049	0.0190431482922307	
0.285	0.007	0.06411370664748424	
0.29	0.165	0.08748497134104785	
0.295	0.165	0.10134228911573556	
0.3	0.093	0.11690769296621026	
0.305	0.281	0.1359650049675104	
0.31	0.339	0.16390028072402357	
0.315	0.256	0.20048008339165796	
0.32	0.427	0.24466713326646777	
0.325	0.605	0.3011356131819224	
0.33	0.403	0.36202179015799335	
0.335	0.440	0.41406566080588003	
0.34	0.617	0.4535345172784233	
0.345	0.551	0.48736317572019666	
0.35	0.473	0.5148533208606235	
0.355	0.570	0.5339454544399291	
0.36	0.541	0.5409264346306355	
0.365	0.295	0.5314626659286967	
0.37	0.241	0.4966020214809742	
0.375	0.243	0.4351164129078121	
0.38	-0.029	0.35206088277477243	
0.385	-0.083	0.2530642076190066	
0.39	-0.008	0.15150223915548122	
0.395	-0.101	0.060406081236060775	
0.4	-0.179	-0.014095776961842717	
0.405	-0.136	-0.07109152545855639	
0.41	-0.129	-0.11507122806222671	
0.415	-0.225	-0.14745505420967925	
0.42	-0.150	-0.16539088842558702	
0.425	-0.089	-0.17191028225364	
0.43	-0.152	-0.16988281436391894	
0.435	-0.173	-0.160913186127423	
0.44	-0.058	-0.14955407166729773	
0.445	-0.107	-0.13960039869145824	
0.45	-0.200	-0.13007324747764665	
0.455	-0.145	-0.12812706100799864	
0.46	-0.127	-0.1341036895899715	
0.465	-0.199	-0.14243156256472006	
0.47	-0.148	-0.14738036842252958	
0.475	-0.132	-0.15094913172165506	
0.48	-0.252	-0.16090192959875474	
0.485	-0.269	-0.17488375448548418	
0.49	-0.187	-0.19154884507744327	
0.495	-0.245	-0.20963535792723825	
0.5	-0.295	-0.22506174238037038	
0.505	-0.207	-0.23407399971419326	
0.51	-0.219	-0.24111823621631748	
0.515	-0.378	-0.25048584819078434	
0.52	-0.333	-0.2643536689079201	
0.525	-0.182	-0.27890548254051917	
0.53	-0.115	-0.2769270611515836	
0.535	0.082	-0.23685055039276287	
0.54	0.351	-0.1524584206746509	
0.545	0.076	-0.047682831480867216	
0.55	-0.211	0.026822603083652714	
0.555	-0.304	0.03191866884309326	
0.56	-0.443	-0.03211794291799664	
0.565	-0.588	-0.14253715400410807	
0.57	-0.530	-0.2653312569337026	
0.575	-0.426	-0.3728473109527464	
0.58	-0.448	-0.4449468218309558	
0.585	-0.398	-0.4758849903088013	
0.59	-0.234	-0.4684442575943828	
0.595	-0.208	-0.4316518933140756	
0.6	-0.211	-0.3741248199357322	
0.605	-0.118	-0.30701546428929927	
0.61	-0.055	-0.24310548493774659	
0.615	-0.083	-0.18355562485213145	
0.62	0.128	-0.12030809962043378	
0.625	0.223	-0.04884693201973942	
0.63	0.068	0.019972255768414836	
0.635	0.102	0.07506762351158948	
0.64	0.266	0.11558514575176808	
0.645	0.252	0.15033078634356523	
0.65	0.125	0.1808196872411148	
0.655	0.301	0.20400469780875993	
0.66	0.431	0.22894063437834705	
0.665	0.273	0.2614301233953251	
0.67	0.366	0.2966577063845922	
0.675	0.533	0.3291511711439168	
0.68	0.446	0.3670128852014075	
0.685	0.470	0.4081001880819155	
0.69	0.591	0.44653782460777314	
0.695	0.482	0.4773018088736225	
0.7	0.304	0.4898816103552612	
0.705	0.403	0.47897774026458095	
0.71	0.235	0.4448392067072494	
0.715	-0.028	0.3824714723622316	
0.72	-0.066	0.2906924858898459	
0.725	-0.077	0.18104823338593093	
0.73	-0.229	0.06803733215738408	
0.735	-0.182	-0.029789561344476707	
0.74	0.013	-0.0965158999516917	
0.745	-0.113	-0.12870151164617047	
0.75	-0.182	-0.13899074060085403	
0.755	-0.080	-0.13906183308057618	
0.76	-0.064	-0.13522514605700303	
0.765	-0.090	-0.1253884816175449	
0.77	0.000	-0.10327047575823137	
0.775	0.000	-0.07807517542584319	
0.78	-0.150	-0.06293116350950709	
0.785	-0.165	-0.06174167324671491	
0.79	-0.071	-0.07364243194240937	
0.795	-0.139	-0.08972902083956819	
0.8	-0.223	-0.10788985014965517	
0.805	-0.132	-0.12610824292126355	
0.81	-0.133	-0.14229338444811412	
0.815	-0.171	-0.15330545357923636	
0.82	-0.161	-0.15526075650886634	
0.825	-0.184	-0.15916635311709776	
0.83	-0.265	-0.17188789769820725	
0.835	-0.248	-0.1886657619226923	
0.84	-0.152	-0.20169894109827113	
0.845	-0.193	-0.2087492206563736	
0.85	-0.249	-0.2098227131705743	
0.855	-0.236	-0.21112339791237666	
0.86	-0.280	-0.22135630574025314	
0.865	-0.291	-0.23728692882070285	
0.87	-0.095	-0.24221256009855738	
0.875	0.128	-0.21615148152150748	
0.88	0.253	-0.14786366657703215	
0.885	0.302	-0.041634408778620624	
0.89	0.152	0.06727031700680994	
0.895	-0.274	0.12014739661523476	
0.9	-0.488	0.08309705888503216	
0.905	-0.460	-0.02509203782068593	
0.91	-0.460	-0.16230005850748785	
0.915	-0.492	-0.2893226252429426	
0.92	-0.398	-0.3782226346381418	
0.925	-0.286	-0.42607570139931245	
0.93	-0.307	-0.4328999931344829	
0.935	-0.262	-0.4077201575241458	
0.94	-0.083	-0.3596136682804394	
0.945	-0.115	-0.2987205343896503	
0.95	-0.170	-0.23595362517516494	
0.955	-0.017	-0.17908790749000464	
0.96	0.053	-0.1282214403046994	
0.965	0.010	-0.07639827724466952	
0.97	0.160	-0.022301710173873585	
0.975	0.288	0.03698559771647532	
0.98	0.177	0.0970815343267199	
0.985	0.191	0.1501766808604302	
0.99	0.293	0.19040904196009834	
0.995	0.269	0.21832464981283536	
1.0	0.253	0.2429924274577817	
1.005	0.449	0.2699193887008884	
1.01	0.524	0.3088483194937969	
1.015	0.440	0.3575719581914438	
1.02	0.508	0.4076481699486351	
1.025	0.515	0.44801711967485924	
1.03	0.447	0.4730827375161295	
1.035	0.505	0.4881423194383771	
1.04	0.654	0.506453872389764	
1.045	0.444	0.5213557338006072	
1.05	0.197	0.5129021408532979	
1.055	0.230	0.4678666158764303	
1.06	0.159	0.39390836165552096	
1.065	-0.048	0.3055608819842619	
1.07	-0.052	0.21057828493527897	
1.075	-0.011	0.11707983308171346	
1.08	-0.141	0.03616709226641134	
1.085	-0.181	-0.029923210528149183	
1.09	-0.074	-0.08058508047657571	
1.095	-0.048	-0.11253659123068081	
1.1	-0.139	-0.12204057051185006	
1.105	-0.068	-0.11718436859914853	
1.11	-0.037	-0.11108356740422146	
1.115	-0.145	-0.10237945850224826	
1.12	-0.110	-0.09644177302057341	
1.125	-0.083	-0.09597892184685436	
1.13	-0.152	-0.10182290265799009	
1.135	-0.089	-0.10488657438017657	
1.14	-0.043	-0.10261392535397387	
1.145	-0.115	-0.09959138009700769	
1.15	-0.177	-0.10003046117004619	
1.155	-0.121	-0.10515506509896212	
1.16	-0.168	-0.11811948045859928	
1.165	-0.292	-0.13941012199853525	
1.17	-0.272	-0.1673991009330944	
1.175	-0.248	-0.20096219913610697	
1.18	-0.347	-0.2348695919523342	
1.185	-0.335	-0.2648779941799021	
1.19	-0.272	-0.2875666040452711	
1.195	-0.327	-0.3056204624283858	
1.2	-0.323	-0.3160505672205439	
1.205	-0.193	-0.3120834329621123	
1.21	-0.170	-0.29610325671514354	
1.215	-0.205	-0.2694700620002558	
1.22	0.026	-0.2283540777934065	
1.225	0.308	-0.1588726610002456	
1.23	0.088	-0.06591816551737974	
1.235	-0.155	0.010032977834764973	
1.24	-0.332	0.02241566840862462	
1.245	-0.587	-0.0446597004407264	
1.25	-0.694	-0.17110349569994526	
1.255	-0.592	-0.31506049603232517	
1.26	-0.533	-0.4420636187844798	
1.265	-0.488	-0.524457251036117	
1.27	-0.352	-0.5503262802850956	
1.275	-0.228	-0.525871203782777	
1.28	-0.223	-0.4689478747421784	
1.285	-0.211	-0.39290581256017465	
1.29	-0.048	-0.3124714716721819	
1.295	-0.037	-0.23466394548424538	
1.3	-0.086	-0.16314172425203438	
1.305	0.038	-0.10101509630993769	
1.31	0.085	-0.05109663079629084	
1.315	-0.026	-0.011576999611058627	
1.32	0.061	0.01868005561091073	
1.325	0.183	0.043161931836909875	
1.33	0.151	0.06897056868596728	
1.335	0.240	0.10610337243482613	
1.34	0.398	0.15462490438103477	
1.345	0.325	0.20827650497752637	
1.35	0.374	0.26180083489234696	
1.355	0.670	0.3251082023835622	
1.36	0.718	0.4049373547760418	
1.365	0.528	0.48830730486665735	
1.37	0.583	0.5526934530044039	
1.375	0.728	0.5942333531755117	
1.38	0.486	0.6168961234045125	
1.385	0.452	0.6160332193384468	
1.39	0.585	0.5966689560434861	
1.395	0.340	0.5622964080973433	
1.4	0.073	0.5037394064374144	
1.405	0.162	0.41604658207682776	
1.41	0.053	0.3139600239568877	
1.415	-0.097	0.2113786010329159	
1.42	-0.098	0.11567596257065188	
1.425	-0.095	0.029197518897050054	
1.43	-0.222	-0.04701104322909264	
1.435	-0.228	-0.10791825895142657	
1.44	-0.116	-0.15241040033944958	
1.445	-0.153	-0.17865984053024536	
1.45	-0.199	-0.18713685963591686	
1.455	-0.097	-0.18200307748682704	
1.46	-0.063	-0.1701012761380696	
1.465	-0.165	-0.1535349237874049	
1.47	-0.135	-0.13632232799210292	
1.475	-0.090	-0.12791016082671058	
1.48	-0.185	-0.1269869013838626	
1.485	-0.203	-0.13085291916086256	
1.49	-0.130	-0.13949543097581557	
1.495	-0.136	-0.14971380802299397	
1.5	-0.171	-0.15404433069347373	
1.505	-0.145	-0.15199933025130388	
1.51	-0.199	-0.15621346498460817	
1.515	-0.312	-0.1715140140538856	
1.52	-0.281	-0.19423004382455925	
1.525	-0.232	-0.21996488030764763	
1.53	-0.306	-0.24604222314626292	
1.535	-0.298	-0.2627553731781851	
1.54	-0.229	-0.2724622261668837	
1.545	-0.321	-0.2808239651899652	
1.55	-0.394	-0.2910427559422333	
1.555	-0.297	-0.3028978011278193	
1.56	-0.147	-0.30825062667972225	
1.565	0.030	-0.282542789067856	
1.57	0.386	-0.1990728066072785	
1.575	0.372	-0.06792585711178867	
1.58	-0.130	0.05176126322463211	
1.585	-0.379	0.09116857339343183	
1.59	-0.512	0.03160168362186391	
1.595	-0.672	-0.10389210714414215	
1.6	-0.695	-0.268104062951697	
1.605	-0.520	-0.4147730827775329	
1.61	-0.445	-0.5141868345823827	
1.615	-0.420	-0.5546478093701563	
1.62	-0.262	-0.5390941830254914	
1.625	-0.119	-0.4808336630773396	
1.63	-0.135	-0.39821192248044784	
1.635	-0.078	-0.3017939745388576	
1.64	0.078	-0.20628301181049793	
1.645	0.015	-0.12189856698997803	
1.65	-0.042	-0.054207113897328615	
1.655	0.107	-0.004757885925101773	
1.66	0.186	0.0338163076901697	
1.665	0.061	0.06923444473494005	
1.67	0.195	0.10088901447830635	
1.675	0.357	0.13522955230586067	
1.68	0.238	0.17573630439028054	
1.685	0.285	0.21817077293206863	
1.69	0.551	0.2637851723522766	
1.695	0.533	0.3211208186027271	
1.7	0.504	0.3887777046670968	
1.705	0.680	0.45726043136995353	
1.71	0.663	0.5198069026100385	
1.715	0.557	0.5702215409975377	
1.72	0.724	0.6099001693663259	
1.725	0.837	0.6482131703169411	
1.73	0.623	0.6817296222684143	
1.735	0.556	0.6971717598870819	
1.74	0.577	0.6857289356092219	
1.745	0.292	0.6410891209844172	
1.75	0.018	0.5557875341115015	
1.755	0.059	0.4332096151515453	
1.76	-0.057	0.2938053519679049	
1.765	-0.231	0.15531779440844787	
1.77	-0.165	0.03187835328296709	
1.775	-0.133	-0.06784781858058987	
1.78	-0.263	-0.14015363249587298	
1.785	-0.216	-0.18776591730413508	
1.79	-0.080	-0.20936043936307702	
1.795	-0.100	-0.20782981562147282	
1.8	-0.145	-0.18807190273186644	
1.805	-0.057	-0.15989199465712206	
1.81	-0.093	-0.1362541371569747	
1.815	-0.217	-0.1225627831842264	
1.82	-0.173	-0.12117886814699332	
1.825	-0.104	-0.12898366290472543	
1.83	-0.188	-0.14005986204717527	
1.835	-0.165	-0.1467200838620814	
1.84	-0.066	-0.14650458539343475	
1.845	-0.165	-0.1458210898558757	
1.85	-0.231	-0.14697323321598135	
1.855	-0.171	-0.1529775153187998	
1.86	-0.228	-0.1672998577660619	
