Time	Potential	EKG	Unnamed: 3
0.0	-0.176	-0.010167719702904351	
0.005	-0.061	-0.02882858913225445	
0.01	0.099	-0.042358715667987865	
0.015	-0.181	-0.04728171802451143	
0.02	-0.164	-0.057352364393576306	
0.025	0.122	-0.0673312053274092	
0.03	-0.005	-0.06126947807350422	
0.035	-0.142	-0.047030702576854835	
0.04	0.154	-0.03338109575736437	
0.045	0.088	-0.012485644563192457	
0.05	-0.182	0.003914936414344512	
0.055	-0.060	0.0023622769521308867	
0.06	0.139	-0.007638276853497336	
0.065	-0.110	-0.011893898383862537	
0.07	-0.097	-0.015643788725804977	
0.075	0.191	-0.016583144689959785	
0.08	-0.052	-0.00946063772512792	
0.085	-0.193	-0.008631236149577367	
0.09	0.027	-0.01986448203065813	
0.095	0.072	-0.029247820605202212	
0.1	-0.167	-0.031686818540386484	
0.105	-0.040	-0.03346278621532191	
0.11	0.067	-0.038178222229936096	
0.115	-0.181	-0.04335012327838919	
0.12	-0.115	-0.051800723572686364	
0.125	0.068	-0.05906124600633746	
0.13	-0.109	-0.06263931959996218	
0.135	-0.182	-0.0670081275880314	
0.14	0.017	-0.07144278043737731	
0.145	-0.058	-0.07514433803247617	
0.15	-0.228	-0.08217516769398206	
0.155	-0.077	-0.08927212157749331	
0.16	0.056	-0.09280544272190364	
0.165	-0.164	-0.09074681218441344	
0.17	-0.136	-0.08592132239619597	
0.175	0.105	-0.07960050736776668	
0.18	-0.093	-0.06979763095138736	
0.185	-0.199	-0.06436778277720831	
0.19	0.036	-0.0630813361315336	
0.195	0.055	-0.060010029624362644	
0.2	-0.152	-0.051592642156658035	
0.205	0.122	-0.03513694888341099	
0.21	0.337	-0.0024685057083607973	
0.215	-0.078	0.03993353154658535	
0.22	-0.057	0.06492235680109937	
0.225	0.232	0.07174729098922408	
0.23	-0.038	0.07013246189541576	
0.235	-0.138	0.058354380400422956	
0.24	0.090	0.03912854942923179	
0.245	0.015	0.019116162202403933	
0.25	-0.211	-0.002850784460635319	
0.255	-0.074	-0.026126239027434165	
0.26	0.044	-0.04827329452376316	
0.265	-0.162	-0.06618483954101845	
0.27	-0.126	-0.07415014761560987	
0.275	0.238	-0.06905368710777066	
0.28	-0.029	-0.046875833137988224	
0.285	-0.171	-0.026812240352545424	
0.29	0.062	-0.017781675061294536	
