Vernier Format 2
ecg5.txt 10/18/2025 9:5:9
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.321	0.015	
0.005	0.154	0.056	
0.010	0.264	0.107	
0.015	0.070	0.147	
0.020	-0.075	0.155	
0.025	0.215	0.136	
0.030	0.252	0.130	
0.035	0.000	0.136	
0.040	0.114	0.131	
0.045	0.492	0.137	
0.050	0.504	0.189	
0.055	0.631	0.278	
0.060	1.100	0.402	
0.065	1.084	0.570	
0.070	0.935	0.741	
0.075	1.161	0.878	
0.080	1.120	0.986	
0.085	0.874	1.054	
0.090	1.060	1.074	
0.095	1.182	1.078	
0.100	0.768	1.075	
0.105	0.629	1.029	
0.110	0.771	0.946	
0.115	0.450	0.851	
0.120	0.215	0.735	
0.125	0.360	0.599	
0.130	0.236	0.476	
0.135	-0.058	0.363	
0.140	-0.011	0.246	
0.145	0.062	0.142	
0.150	-0.139	0.063	
0.155	-0.162	-0.004	
0.160	0.020	-0.057	
0.165	-0.161	-0.086	
0.170	-0.286	-0.111	
0.175	-0.165	-0.145	
0.180	-0.208	-0.172	
0.185	-0.382	-0.199	
0.190	-0.388	-0.238	
0.195	-0.341	-0.282	
0.200	-0.520	-0.325	
0.205	-0.608	-0.378	
0.210	-0.596	-0.442	
0.215	-0.698	-0.507	
0.220	-0.757	-0.572	
0.225	-0.650	-0.631	
0.230	-0.660	-0.669	
0.235	-0.795	-0.691	
0.240	-0.705	-0.711	
0.245	-0.631	-0.720	
0.250	-0.714	-0.716	
0.255	-0.588	-0.704	
0.260	-0.330	-0.670	
0.265	-0.248	-0.599	
0.270	-0.364	-0.509	
0.275	-0.463	-0.436	
0.280	-0.734	-0.414	
0.285	-0.995	-0.461	
0.290	-0.995	-0.571	
0.295	-0.921	-0.700	
0.300	-0.929	-0.808	
0.305	-0.810	-0.877	
0.310	-0.617	-0.896	
0.315	-0.558	-0.860	
0.320	-0.485	-0.786	
0.325	-0.326	-0.690	
0.330	-0.306	-0.582	
0.335	-0.388	-0.482	
0.340	-0.300	-0.408	
0.345	-0.220	-0.352	
0.350	-0.304	-0.308	
0.355	-0.272	-0.280	
0.360	-0.156	-0.261	
0.365	-0.179	-0.239	
0.370	-0.141	-0.214	
0.375	0.165	-0.176	
0.380	0.258	-0.104	
0.385	0.133	-0.012	
0.390	0.295	0.073	
0.395	0.400	0.153	
0.400	0.316	0.229	
0.405	0.550	0.298	
0.410	0.779	0.377	
0.415	0.545	0.469	
0.420	0.313	0.529	
0.425	0.559	0.540	
0.430	0.432	0.532	
0.435	0.010	0.496	
0.440	0.088	0.412	
0.445	0.127	0.309	
0.450	-0.144	0.210	
0.455	-0.200	0.106	
0.460	-0.072	0.007	
0.465	-0.168	-0.067	
0.470	-0.208	-0.119	
0.475	-0.055	-0.152	
