Vernier Format 2
reposo.txt 10/18/2025 8:37:45
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.060	-0.003	
0.005	0.036	-0.007	
0.010	-0.011	-0.008	
0.015	-0.057	-0.009	
0.020	0.013	-0.013	
0.025	-0.057	-0.016	
0.030	-0.136	-0.026	
0.035	-0.032	-0.043	
0.040	0.001	-0.052	
0.045	-0.092	-0.053	
0.050	-0.058	-0.055	
0.055	-0.034	-0.056	
0.060	-0.119	-0.058	
0.065	-0.141	-0.068	
0.070	-0.040	-0.080	
0.075	-0.072	-0.085	
0.080	-0.147	-0.087	
0.085	-0.022	-0.090	
0.090	-0.026	-0.085	
0.095	-0.148	-0.077	
0.100	-0.109	-0.079	
0.105	0.001	-0.082	
0.110	-0.093	-0.078	
0.115	-0.124	-0.075	
0.120	0.090	-0.072	
0.125	0.058	-0.052	
0.130	-0.035	-0.025	
0.135	0.120	-0.002	
0.140	0.117	0.025	
0.145	-0.049	0.047	
0.150	-0.028	0.049	
0.155	0.091	0.041	
0.160	-0.084	0.032	
0.165	-0.147	0.012	
0.170	-0.043	-0.020	
0.175	-0.087	-0.047	
0.180	-0.148	-0.068	
0.185	-0.061	-0.087	
0.190	0.004	-0.092	
0.195	-0.129	-0.086	
0.200	-0.090	-0.083	
0.205	-0.019	-0.081	
0.210	-0.116	-0.077	
0.215	-0.139	-0.078	
0.220	-0.011	-0.083	
0.225	-0.064	-0.081	
0.230	-0.133	-0.077	
0.235	-0.020	-0.078	
0.240	-0.006	-0.072	
0.245	-0.124	-0.063	
0.250	-0.103	-0.063	
0.255	-0.003	-0.067	
0.260	-0.089	-0.066	
0.265	-0.101	-0.066	
0.270	0.032	-0.066	
0.275	-0.020	-0.056	
0.280	-0.101	-0.046	
0.285	-0.031	-0.045	
0.290	-0.032	-0.044	
0.295	-0.124	-0.046	
0.300	-0.095	-0.056	
0.305	-0.013	-0.065	
0.310	-0.104	-0.068	
0.315	-0.139	-0.074	
0.320	-0.013	-0.081	
0.325	-0.068	-0.080	
0.330	-0.124	-0.078	
0.335	-0.025	-0.078	
0.340	-0.032	-0.073	
0.345	-0.124	-0.067	
0.350	-0.072	-0.068	
0.355	0.096	-0.064	
0.360	0.055	-0.042	
0.365	-0.078	-0.018	
0.370	-0.002	-0.007	
0.375	-0.032	-0.006	
0.380	-0.098	-0.012	
0.385	0.013	-0.022	
0.390	0.053	-0.024	
0.395	-0.138	-0.022	
0.400	-0.107	-0.032	
0.405	0.055	-0.044	
0.410	-0.100	-0.047	
0.415	-0.113	-0.051	
0.420	0.038	-0.057	
0.425	-0.013	-0.052	
0.430	-0.116	-0.045	
0.435	-0.029	-0.045	
0.440	0.049	-0.043	
0.445	-0.086	-0.035	
0.450	-0.045	-0.032	
