Time	Potential	EKG	Unnamed: 3
0.0	-0.061	-0.00270615172353536	
0.005	-0.024	-0.009208847172777377	
0.01	-0.134	-0.02483241610782624	
0.015	-0.142	-0.04631379680806461	
0.02	-0.072	-0.06992378646239467	
0.025	-0.140	-0.09035189694205345	
0.03	-0.188	-0.10790121943515206	
0.035	-0.107	-0.12405409339892386	
0.04	-0.116	-0.13365170032968274	
0.045	-0.197	-0.14020043567547505	
0.05	-0.148	-0.14560017229830602	
0.055	-0.095	-0.14800300551629425	
0.06	-0.169	-0.1480398175093869	
0.065	-0.148	-0.1453729970701988	
0.07	-0.050	-0.14068464749791454	
0.075	-0.107	-0.1304369545566167	
0.08	-0.140	-0.1200790659325923	
0.085	-0.047	-0.1108736883962839	
0.09	-0.043	-0.09959726854825555	
0.095	-0.130	-0.08940800716313102	
0.1	-0.067	-0.08253540940260681	
0.105	-0.002	-0.07585236744632345	
0.11	-0.099	-0.06919120133709794	
0.115	-0.089	-0.06442958073305008	
0.12	0.017	-0.06152035342987801	
0.125	-0.056	-0.05548336965561949	
0.13	-0.105	-0.05220317182516697	
0.135	-0.003	-0.05076496618112235	
0.14	-0.005	-0.04754744387808518	
0.145	-0.104	-0.04452912825575539	
0.15	-0.060	-0.044512881839614916	
0.155	-0.008	-0.04676256792137084	
0.16	-0.110	-0.05026097255713218	
0.165	-0.114	-0.05747022548171137	
0.17	-0.029	-0.06544115912880244	
0.175	-0.093	-0.07248981495602588	
0.18	-0.154	-0.07926411776066242	
0.185	-0.082	-0.08772756519819364	
0.19	-0.098	-0.09651851558534585	
0.195	-0.180	-0.1055762720836903	
0.2	-0.137	-0.11550891270609062	
0.205	-0.084	-0.12372026464589678	
0.21	-0.160	-0.1292795430067683	
0.215	-0.157	-0.13248816925476237	
0.22	-0.070	-0.13241118167269542	
0.225	-0.122	-0.1304885840186964	
0.23	-0.166	-0.1272894837242789	
0.235	-0.079	-0.12471431021549954	
0.24	-0.078	-0.12050094264452883	
0.245	-0.165	-0.11659454819786197	
0.25	-0.139	-0.1155192684199117	
0.255	-0.110	-0.11870872304225158	
0.26	-0.162	-0.12528384331738185	
0.265	-0.047	-0.12649412989234324	
0.27	0.300	-0.09937275474617781	
0.275	0.514	-0.021427290456855236	
0.28	0.779	0.11773556695542972	
0.285	1.155	0.31629323183345814	
0.29	1.122	0.5485252627799189	
0.295	0.707	0.7483536919635821	
0.3	0.256	0.8403124208201405	
0.305	-0.085	0.7832004918185818	
0.31	-0.322	0.5967529067634951	
0.315	-0.392	0.3444743905447124	
0.32	-0.337	0.09256651464172576	
0.325	-0.340	-0.11636517401305627	
0.33	-0.337	-0.26023371195528383	
0.335	-0.223	-0.3367784777740651	
0.34	-0.186	-0.3594359032944269	
0.345	-0.233	-0.3435057219121625	
0.35	-0.169	-0.3076094997126409	
0.355	-0.102	-0.2647304474238492	
0.36	-0.165	-0.2221691362744042	
0.365	-0.146	-0.18455447882422046	
0.37	-0.046	-0.15450709523801753	
0.375	-0.090	-0.12837269962865322	
0.38	-0.131	-0.10826200813374767	
0.385	-0.032	-0.09386457237586993	
0.39	-0.011	-0.08044783048635336	
0.395	-0.101	-0.06746244716303457	
0.4	-0.024	-0.057653980627068516	
0.405	0.076	-0.04476581028704593	
0.41	-0.014	-0.02808754550026012	
0.415	0.020	-0.009548408449030113	
0.42	0.194	0.012407598088392006	
0.425	0.155	0.0446952843766109	
0.43	0.108	0.08081678223406685	
0.435	0.261	0.11501275600352269	
0.44	0.270	0.15053689505984066	
0.445	0.142	0.18268865520157246	
0.45	0.206	0.20125466111816406	
0.455	0.262	0.2110936211171652	
0.46	0.107	0.214088217250613	
0.465	0.076	0.20248206557977144	
0.47	0.163	0.18015940351602738	
0.475	0.044	0.15479541400435504	
0.48	-0.064	0.1220192960094148	
0.485	0.009	0.08175933119044902	
0.49	-0.027	0.04246975310895857	
0.495	-0.134	0.18015940351602738	
0.5	-0.102	-0.029864264823472476	
0.0	0.258	0.01289674444338548	
0.005	0.308	0.05245665798806677	
0.01	0.200	0.11343553138411124	
0.015	0.200	0.16477739964532875	
0.02	0.271	0.1991438427396287	
0.025	0.177	0.22015528731248388	
0.03	0.096	0.22524617612337147	
0.035	0.172	0.21068854622182143	
0.04	0.134	0.19040261568289155	
0.045	0.008	0.16660454783536432	
0.05	0.044	0.1337929924515818	
0.055	0.072	0.09898838183355055	
0.06	-0.041	0.0702047777229809	
0.065	-0.052	0.04243680996404528	
0.07	0.006	0.013582513662277272	
0.075	-0.067	-0.009761626813453423	
0.08	-0.111	-0.02917711888526282	
0.085	-0.044	-0.048110057876377586	
0.09	-0.060	-0.06130873260377959	
0.095	-0.125	-0.0707421179613246	
0.1	-0.079	-0.07825521426802046	
0.105	-0.037	-0.08365163158563613	
0.11	-0.098	-0.08296653692150036	
0.115	-0.082	-0.08079801638997816	
0.12	0.008	-0.07611137697387754	
0.125	-0.040	-0.06672209637450796	
0.13	-0.060	-0.05449265754877709	
0.135	0.047	-0.04296185049686228	
0.14	0.047	-0.027100090330278333	
0.145	-0.041	-0.010008985059712882	
0.15	0.018	0.0016964066142697556	
0.155	0.075	0.009614967381458613	
0.16	-0.014	0.016914896301308664	
0.165	-0.003	0.021016489121644097	
0.17	0.093	0.02309882773016049	
0.175	0.015	0.027323761122417668	
0.18	-0.040	0.028282240817591807	
0.185	0.038	0.024113863016886332	
0.19	0.023	0.019055685630211105	
0.195	-0.070	0.012833452426362302	
0.2	-0.031	0.002643142642609346	
0.205	-0.008	-0.010210603491864461	
0.21	-0.099	-0.023130690496159366	
0.215	-0.101	-0.03711493823960567	
0.22	-0.032	-0.05178639874865395	
0.225	-0.085	-0.06361770426411244	
0.23	-0.127	-0.07184598087613683	
0.235	-0.063	-0.07985797963152286	
0.24	-0.069	-0.0848396155031072	
0.245	-0.122	-0.0882473520760965	
0.25	-0.072	-0.08839653259492167	
0.255	-0.029	-0.08610464140204374	
0.26	-0.096	-0.08215305650982846	
0.265	-0.093	-0.07719935338861017	
0.27	-0.047	-0.07471605700516196	
0.275	-0.110	-0.07659048382232765	
0.28	-0.114	-0.07994146510325288	
0.285	0.052	-0.07781927506375547	
0.29	0.215	-0.054740934290493405	
0.295	0.367	0.004704243829579985	
0.3	0.716	0.11260695199130294	
0.305	0.933	0.2700157887911575	
0.31	0.773	0.4508099922813817	
0.315	0.472	0.5936544827960886	
0.32	0.114	0.6402521869742585	
0.325	-0.188	0.5663838019811551	
0.33	-0.320	0.3989706991954449	
0.335	-0.305	0.193196146352212	
0.34	-0.300	-0.002675660989232445	
0.345	-0.316	-0.15533725244248375	
0.35	-0.236	-0.2534198144173935	
0.355	-0.165	-0.298926505442195	
0.36	-0.192	-0.30418279522831887	
0.365	-0.163	-0.2813157058056628	
0.37	-0.093	-0.2445904979627465	
0.375	-0.119	-0.2065452676440786	
0.38	-0.137	-0.17009565109655067	
0.385	-0.067	-0.1397813336017324	
0.39	-0.064	-0.11665285622244632	
0.395	-0.122	-0.09945846183044071	
0.4	-0.075	-0.08745877840798189	
0.405	-0.029	-0.07986321068459776	
0.41	-0.093	-0.07425449780599647	
0.415	-0.076	-0.06937666964857866	
0.42	0.018	-0.0634950245528436	
0.425	-0.029	-0.054544891005364735	
0.43	-0.060	-0.044182744103629365	
0.435	0.053	-0.032716808721066915	
0.44	0.072	-0.017593121340762827	
0.445	0.008	0.0014595907476478043	
0.45	0.099	0.021543903809353036	
0.455	0.171	0.04421925636176491	
0.46	0.078	0.06870244989330404	
0.465	0.084	0.08856931077833377	
0.47	0.178	0.10355994520952888	
0.475	0.099	0.11346307731327528	
0.48	0.017	0.11575546653618934	
0.485	0.088	0.1082900561874063	
0.49	0.053	0.09444047167064418	
0.495	-0.056	0.07442959572255492	
0.5	-0.027	0.05051954836661967	
0.505	-0.002	0.023246835719903245	
0.51	-0.090	-0.002286840865388856	
0.515	-0.101	-0.025448633868495538	
0.52	-0.044	-0.046432415402571224	
0.525	-0.096	-0.06451571433542841	
0.53	-0.136	-0.07824291018085988	
0.535	-0.076	-0.08770859424008248	
0.54	-0.087	-0.09555149989249001	
0.545	-0.156	-0.10257019738487104	
0.55	-0.114	-0.10747547853446919	
0.555	-0.085	-0.11174835673900899	
0.56	-0.154	-0.11630107786794631	
0.565	-0.154	-0.12045082802488453	
0.57	-0.089	-0.12441455697814378	
0.575	-0.122	-0.12652668682018148	
0.58	-0.143	-0.12626092926676674	
0.585	-0.075	-0.12268594920005046	
0.59	-0.067	-0.1165437675037077	
0.595	-0.116	-0.10859855791312258	
0.6	-0.067	-0.09846587375649973	
0.605	-0.023	-0.08872477621019018	
0.61	-0.098	-0.07932779304671136	
0.615	-0.089	-0.07246152148394838	
0.62	-0.008	-0.06738426511344064	
0.625	-0.056	-0.06253807224575123	
0.63	-0.102	-0.059289067386627745	
0.635	-0.044	-0.05766558032798699	
0.64	-0.055	-0.059537800288943586	
0.645	-0.137	-0.0646300957514811	
0.65	-0.105	-0.0724589162567162	
0.655	-0.058	-0.08170169540662058	
0.66	-0.136	-0.09034583064420904	
0.665	-0.153	-0.09846739768059973	
0.67	-0.108	-0.10836254651231514	
0.675	-0.157	-0.11954970798889464	
0.68	-0.194	-0.1323031666689477	
0.685	-0.133	-0.14163741074151232	
0.69	-0.131	-0.14953150216132832	
0.695	-0.186	-0.15465526842771946	
0.7	-0.153	-0.1554398281535264	
0.705	-0.117	-0.1556794567111907	
0.71	-0.171	-0.15538317403677698	
0.715	-0.168	-0.15346974031252092	
0.72	-0.108	-0.1513131850068929	
0.725	-0.160	-0.1505762834239673	
0.73	-0.203	-0.1513458573298821	
0.735	-0.125	-0.1525838593178916	
0.74	-0.064	-0.15051829966788974	
0.745	-0.027	-0.13671109995405134	
0.75	0.279	-0.09438232362009566	
0.755	0.646	-0.0015814838107682354	
0.76	0.750	0.14759220499702805	
0.765	0.761	0.3305033979620662	
0.77	0.627	-0.13671109995405134	
0.775	0.107	0.5783200556515042	
0.78	-0.213	0.542517339346162	
0.785	-0.279	0.399426228595843	
0.79	-0.339	0.20252626008100197	
0.795	-0.396	0.004251291000389913	
0.8	-0.335	-0.15839293409141397	
0.805	-0.262	-0.27154383043519603	
0.81	-0.277	-0.3314251126817697	
0.815	-0.244	-0.34751132418711217	
0.82	-0.163	-0.33221027614484633	
0.825	-0.183	-0.30156849704994937	
0.83	-0.206	-0.264435505768379	
0.835	-0.133	-0.2275446396847185	
0.84	-0.130	-0.19746741787646732	
0.845	-0.175	-0.17380207676486287	
0.85	-0.122	-0.1554291425846191	
0.855	-0.075	-0.1405470346753649	
0.86	-0.131	-0.12847571756435056	
0.865	-0.124	-0.11855148859276013	
0.87	-0.052	-0.10917759531070163	
0.875	-0.085	-0.1025738104021447	
0.88	-0.108	-0.09547977332523992	
0.885	-0.011	-0.08550415173857866	
0.89	0.001	-0.07242809843560322	
0.895	-0.060	-0.057856611279365366	
0.9	0.020	-0.041428699896064194	
0.905	0.120	-0.02147791529368644	
0.91	0.043	0.003494529908120792	
0.915	0.055	0.029400074500742095	
0.92	0.169	0.05287923321660435	
0.925	0.113	0.0754401428319866	
0.93	0.035	0.09245308135798026	
0.935	0.128	0.10050200454974481	
0.94	0.117	0.10361285417166827	
0.945	-0.009	0.1001115636088463	
0.95	0.021	0.08853886813214464	
0.955	0.052	0.07054376383255591	
0.96	-0.067	0.04850496830003461	
0.965	-0.076	0.022374755837121847	
0.97	-0.008	-0.0021235695600324185	
0.975	-0.067	-0.024524634369548083	
0.98	-0.113	-0.04254315132942571	
0.985	-0.047	-0.05652233317424761	
0.99	-0.064	-0.06736330316761813	
0.995	-0.137	-0.07686316596874768	
1.0	-0.099	-0.08348834836278005	
1.005	-0.056	-0.09045243767458355	
1.01	-0.130	-0.09546122536108362	
1.015	-0.130	-0.09964499497836374	
1.02	-0.053	-0.10114048144337554	
1.025	-0.096	-0.10149627335225782	
1.03	-0.134	-0.1005512085377174	
1.035	-0.052	-0.09754826346956233	
1.04	-0.035	-0.09333906917119597	
1.045	-0.095	-0.08485263071191063	
1.05	-0.034	-0.07451610680500144	
1.055	0.035	-0.06144333253374219	
1.06	-0.044	-0.047439565963630116	
1.065	-0.037	-0.03366971152753042	
1.07	0.064	-0.021152013044510982	
1.075	0.012	-0.009469802914515641	
1.08	-0.034	0.00044160538056101084	
1.085	0.055	0.008424582890146484	
1.09	0.035	0.013675627083725442	
1.095	-0.066	0.01515663153444349	
1.1	-0.023	0.010450466052218027	
1.105	0.020	0.001554247983402328	
1.11	-0.075	-0.008406687655073426	
1.115	-0.087	-0.019684384138237185	
1.12	-0.023	-0.03217984981325822	
1.125	-0.087	-0.046440585230153965	
1.13	-0.142	-0.05954185399015419	
1.135	-0.082	-0.07361055848094268	
1.14	-0.090	-0.08631978042070848	
1.145	-0.157	-0.09880202454540814	
1.15	-0.116	-0.10756295908764131	
1.155	-0.066	-0.11246670624693084	
1.16	-0.128	-0.11437481412870203	
1.165	-0.127	-0.11367877929349354	
1.17	-0.046	-0.11020767537957131	
1.175	-0.089	-0.10442219694509927	
1.18	-0.140	-0.09952712801700646	
1.185	-0.093	-0.09764581243113118	
1.19	-0.099	-0.09931710214826278	
1.195	-0.131	-0.10377264929688924	
1.2	0.017	-0.09958273407766396	
1.205	0.283	-0.07045271637284953	
1.21	0.453	0.0017020484160345313	
1.215	0.753	0.12833908133288213	
1.22	1.050	0.3077810601606262	
1.225	0.948	0.5116120426112367	
1.23	0.553	0.6784157647829914	
1.235	0.143	0.7401889515722163	
1.24	-0.154	0.6636217977332601	
1.245	-0.323	0.47926211441738603	
1.25	-0.334	0.25038815081162286	
1.255	-0.288	0.03351974205454496	
1.26	-0.303	-0.1392534197690671	
1.265	-0.264	-0.24965200067533044	
1.27	-0.171	-0.3022512992349471	
1.275	-0.177	-0.3113601799119333	
1.28	-0.194	-0.29148919487383984	
1.285	-0.119	-0.2566958993105745	
1.29	-0.099	-0.21830659231724686	
1.295	-0.153	-0.1827434473469922	
1.3	-0.108	-0.1526268262017569	
1.305	-0.053	-0.12848908961927685	
1.31	-0.113	-0.11131893339948165	
1.315	-0.110	-0.09871063932420304	
1.32	-0.020	-0.0882387105285592	
1.325	-0.055	-0.079375287550007	
1.33	-0.095	-0.07053943309893516	
1.335	-0.005	-0.06167127917627124	
1.34	0.027	-0.05127137114391923	
1.345	-0.044	-0.03878235044972858	
1.35	0.030	-0.02362714663316633	
1.355	0.134	-0.0044334115129224805	
1.36	0.058	0.018664409403717053	
1.365	0.075	0.04325397176361106	
1.37	0.212	0.06880195857179754	
1.375	0.172	0.09663959053064657	
1.38	0.111	0.12341543921731701	
1.385	0.209	0.14433016841656882	
1.39	0.206	0.1607566651198496	
1.395	0.076	0.16819179511419993	
1.4	0.102	0.1653407444650179	
1.405	0.145	0.15358244698968798	
1.41	0.015	0.1346759330880829	
1.415	-0.018	0.11022593233511482	
1.42	0.058	0.08079099368350218	
1.425	-0.021	0.05267017933569747	
1.43	-0.087	0.025420995186392403	
1.435	-0.024	0.0003027806950712861	
1.44	-0.027	-0.021223885608092165	
1.445	-0.114	-0.03876779945823426	
1.45	-0.095	-0.05368086637192625	
1.455	-0.055	-0.06743546945561732	
1.46	-0.131	-0.08027923963127923	
1.465	-0.137	-0.09076683264546061	
1.47	-0.070	-0.09925050452469991	
1.475	-0.114	-0.1063115392551624	
1.48	-0.154	-0.11154846753253303	
1.485	-0.081	-0.11273056302277602	
1.49	-0.063	-0.11223365624893174	
1.495	-0.117	-0.10873517293597668	
1.5	-0.070	-0.10068917778684447	
1.505	-0.003	-0.08945266666308158	
1.51	-0.070	-0.07726279449466891	
1.515	-0.063	-0.06576947386510329	
1.52	0.032	-0.05226282173876507	
1.525	-0.021	-0.040299078266884766	
1.53	-0.082	-0.03155854447911283	
1.535	0.000	-0.026750709681706522	
1.54	0.014	-0.024212497698187747	
1.545	-0.069	-0.022733040881107044	
1.55	-0.032	-0.021724108129592343	
1.555	0.020	-0.02243935116685117	
1.56	-0.072	-0.0242365179102794	
1.565	-0.087	-0.028803547905266676	
1.57	-0.018	-0.03627578527020533	
1.575	-0.070	-0.04525941809533367	
1.58	-0.128	-0.05456277505204976	
1.585	-0.082	-0.06478110525700825	
1.59	-0.090	-0.07719200447205785	
1.595	-0.162	-0.0907173240107542	
1.6	-0.139	-0.10374963009997516	
1.605	-0.093	-0.11443430719339386	
1.61	-0.153	-0.12421092084170371	
1.615	-0.160	-0.1298165653194152	
1.62	-0.093	-0.1332807197572624	
1.625	-0.124	-0.13423820392686586	
1.63	-0.166	-0.13457289851435128	
1.635	-0.104	-0.13179019425530036	
1.64	-0.093	-0.1291670402866831	
1.645	-0.172	-0.12772730270614568	
1.65	-0.160	-0.128776474943409	
1.655	-0.095	-0.13140896500067023	
1.66	-0.081	-0.13220072019786452	
1.665	0.075	-0.11483460390781389	
1.67	0.479	-0.05722101806770861	
1.675	0.785	0.061840309267251044	
1.68	0.976	0.24842006499788233	
1.685	1.098	0.4742017126502514	
1.69	0.848	0.6818225380702678	
1.695	0.184	-0.11483460390781389	
1.7	-0.159	0.7530752417427182	
1.705	-0.271	0.5765873538830527	
1.71	-0.387	0.32984543117596166	
1.715	-0.392	0.08213746397720037	
1.72	-0.305	-0.12024755253652258	
1.725	-0.290	-0.2601215357588197	
1.73	-0.294	-0.33557146152140394	
1.735	-0.212	-0.3578301604137003	
1.74	-0.186	-0.34610279909145775	
1.745	-0.233	-0.3166944263177558	
1.75	-0.194	-0.2798413743727073	
1.755	-0.136	-0.24440808239966144	
1.76	-0.178	-0.21514988450191797	
1.765	-0.178	-0.18988975181778361	
1.77	-0.108	-0.17030716731588302	
1.775	-0.134	-0.15616421504859027	
1.78	-0.163	-0.1466004848849687	
1.785	-0.087	-0.13584648336028132	
1.79	-0.067	-0.12610654904478014	
1.795	-0.127	-0.11671064763356664	
1.8	-0.081	-0.10583925697801765	
1.805	-0.003	-0.0943787110348171	
1.81	-0.063	-0.08116152618736747	
1.815	-0.049	-0.06590810894412205	
1.82	0.084	-0.04826745156376709	
1.825	0.062	-0.025151893244752893	
1.83	0.021	0.0013614169142265983	
1.835	0.160	0.029167160727148384	
1.84	0.192	0.06092537315108574	
1.845	0.062	0.09126101049212977	
1.85	0.102	0.11113195349677549	
1.855	0.160	0.12063581189753055	
1.86	0.040	0.12084786364587845	
1.865	-0.002	0.11106509353584756	
1.87	0.062	0.0927086432646767	
1.875	-0.023	0.06887100397831655	
1.88	-0.099	0.0393723771068804	
1.885	-0.046	0.009124689159926869	
1.89	-0.055	-0.02106946279482026	
1.895	-0.143	-0.04768543021748876	
1.9	-0.127	-0.07088527666523395	
1.905	-0.093	-0.09138912070628365	
1.91	-0.165	-0.10910019711908417	
1.915	-0.185	-0.12492347357937866	
1.92	-0.127	-0.13733391384389004	
1.925	-0.160	-0.1491014334637078	
1.93	-0.203	-0.15759363349989147	
1.935	-0.149	-0.16291423502984942	
1.94	-0.137	-0.1660751737292281	
1.945	-0.188	-0.16764916519399425	
1.95	-0.153	-0.1649033364941656	
1.955	-0.099	-0.1604083129284763	
1.96	-0.149	-0.15407449122999883	
1.965	-0.154	-0.14692735498156623	
1.97	-0.076	-0.139354578681684	
1.975	-0.102	-0.1310861364071651	
1.98	-0.140	-0.12259008292210462	
1.985	-0.072	-0.11393457893966547	
1.99	-0.058	-0.10606860024563225	
1.995	-0.133	-0.09964030505767013	
2.0	-0.101	-0.09492319340311824	
2.005	-0.038	-0.09141047105303862	
2.01	-0.105	-0.08905680134194126	
2.015	-0.111	-0.08693826982184916	
2.02	-0.041	-0.08436570300140339	
2.025	-0.082	-0.08306902149270651	
