Time	Potential	EKG	Unnamed: 3
0.0	-0.247	-0.012823184745030244	
0.005	-0.116	-0.04155770169178578	
0.01	-0.049	-0.07393391346484694	
0.015	-0.209	-0.09820574587696779	
0.02	-0.156	-0.11775544907109511	
0.025	0.015	-0.127781586815262	
0.03	-0.143	-0.12562875334948115	
0.035	-0.185	-0.12133189145451849	
0.04	0.020	-0.1154428815053173	
0.045	-0.053	-0.10518383723870747	
0.05	-0.191	-0.09357713713010152	
0.055	-0.044	-0.08820464926090499	
0.06	0.047	-0.08242098257770714	
0.065	-0.151	-0.0728604981706592	
0.07	-0.096	-0.06586209827850731	
0.075	0.107	-0.0601065281842027	
0.08	-0.089	-0.05094987856537493	
0.085	-0.139	-0.043788406804124616	
0.09	0.093	-0.04086405932901625	
0.095	0.008	-0.03410615463425386	
0.1	-0.154	-0.028175448257061024	
0.105	0.017	-0.026912360029194456	
0.11	0.105	-0.02402981856010033	
0.115	-0.125	-0.01937640317997437	
0.12	-0.067	-0.016921532085297064	
0.125	0.143	-0.016582115140649195	
0.13	-0.073	-0.013211719889079088	
0.135	-0.133	-0.013127385673211825	
0.14	0.105	-0.016412195702392003	
0.145	0.018	-0.016057764362586484	
0.15	-0.143	-0.014628391491778943	
0.155	0.033	-0.015681587459412803	
0.16	0.110	-0.013740298523458245	
0.165	-0.122	-0.009767352167250918	
0.17	-0.061	-0.008959308081823481	
0.175	0.146	-0.010194413065431875	
0.18	-0.066	-0.008408066357044072	
0.185	-0.117	-0.007367977642968562	
0.19	0.133	-0.008081964863152935	
0.195	0.035	-0.005032053162964511	
0.2	-0.140	-0.0009512386287990595	
0.205	0.038	-0.0015134630264914042	
0.21	0.116	-0.001547859466982337	
0.215	-0.117	-3.982585872852899e-05	
0.22	-0.058	-0.0009685447588940089	
0.225	0.152	-0.0029380199572360214	
0.23	-0.055	-0.0025565904328765003	
0.235	-0.111	-0.0025111499248634413	
0.24	0.125	-0.002857403888921159	
0.245	0.026	-0.0010398856491398872	
0.25	-0.140	-0.0011557016146060428	
0.255	0.040	-0.0023804214837718305	
0.26	0.125	-0.002435476394124272	
0.265	-0.111	-0.00022960906608641225	
0.27	-0.046	0.001041898965826084	
0.275	0.163	0.0022337997667589964	
0.28	-0.061	0.0033293192789766424	
0.285	-0.114	0.0033929067288348057	
0.29	0.136	0.0023055817973546685	
0.295	0.040	0.002953780495080209	
0.3	-0.122	0.005698968574838718	
0.305	0.070	0.007716699584595735	
0.31	0.163	0.012641939565224875	
0.315	-0.079	0.020633937039404065	
0.32	0.000	0.028055111686364535	
0.325	0.230	0.035351152981865946	
0.33	0.014	0.04624796125607923	
0.335	-0.049	0.05534055648774008	
0.34	0.218	0.062407074622071346	
0.345	0.102	0.06993248361987459	
0.35	-0.095	0.0736203600338855	
0.355	0.097	0.07077277287742312	
0.36	0.158	0.0656622641398166	
0.365	-0.104	0.058572780177968416	
0.37	-0.046	0.04707272644046401	
0.375	0.137	0.032378258848757495	
0.38	-0.089	0.017213893371064992	
0.385	-0.148	0.00034651351563664667	
0.39	0.050	-0.016572129567488412	
0.395	-0.053	-0.03308846174009262	
0.4	-0.183	-0.048369732063008146	
0.405	-0.040	-0.06020141994574028	
0.41	0.033	-0.06835754417412092	
0.415	-0.166	-0.07242792797390617	
0.42	-0.108	-0.0728952644445317	
0.425	0.084	-0.07163426255863359	
0.43	-0.104	-0.06780555248315076	
0.435	-0.145	-0.06262460270818679	
0.44	0.073	-0.057569082795606796	
0.445	-0.027	-0.05212160944981434	
0.45	-0.163	-0.048355246751866254	
0.455	0.006	-0.046183770131504126	
0.46	0.067	-0.04339179920891608	
0.465	-0.151	-0.04042726589784554	
0.47	-0.110	-0.040868458711134356	
0.475	0.023	-0.04766997858788785	
0.48	-0.130	-0.05882154960788658	
0.485	-0.066	-0.06457120363673849	
0.49	0.457	-0.04054894749039079	
0.495	0.736	0.0449051336718495	
0.5	1.001	0.2127468488283063	
0.505	1.605	0.46385819486788105	
0.51	1.646	0.7695639077969307	
0.515	0.966	1.0415315166890085	
0.52	0.392	1.1729849404426513	
0.525	0.078	1.1081302883749262	
0.53	-0.279	0.8751974748240328	
0.535	-0.380	0.5635093562356335	
0.54	-0.247	0.252342827410993	
0.545	-0.281	-0.00712727121644432	
0.55	-0.357	-0.1891268836213169	
0.555	-0.207	-0.2911900985198689	
0.56	-0.154	-0.3335352634570953	
0.565	-0.285	-0.3352742864752843	
0.57	-0.217	-0.3117698407093513	
0.575	-0.079	-0.2768585408365577	
0.58	-0.209	-0.24380315572598016	
0.585	-0.229	-0.21340515476401792	
0.59	-0.056	-0.18570907818222593	
0.595	-0.119	-0.16626755592568337	
0.6	-0.233	-0.15213824150698377	
0.605	-0.082	-0.1401670357913104	
0.61	-0.027	-0.1306166902267588	
0.615	-0.195	-0.12332039283519282	
0.62	-0.122	-0.11570668810649096	
0.625	0.049	-0.10584980543626954	
0.63	-0.124	-0.09686771180612903	
0.635	-0.148	-0.08738211150984579	
0.64	0.079	-0.07564563711344222	
0.645	-0.015	-0.0633081509003579	
0.65	-0.145	-0.05217666631647119	
0.655	0.047	-0.04010438797526806	
0.66	0.123	-0.027602872384660252	
0.665	-0.099	-0.013385996638270763	
0.67	0.000	0.0003123064929026014	
0.675	0.229	0.014203498465705466	
0.68	0.014	0.032088362121784356	
0.685	-0.023	0.048593072279991614	
0.69	0.265	0.06540395286258219	
0.695	0.165	0.08468680183195618	
0.7	-0.031	0.10278785025051777	
0.705	0.221	0.11691205287616419	
0.71	0.280	0.13040724006484544	
0.715	-0.002	0.14260132325636243	
0.72	0.108	0.1473051652634858	
0.725	0.315	0.1481928795459258	
0.73	0.047	0.15010632386522604	
0.735	-0.027	0.14360089820777883	
0.74	0.215	0.1303479616842314	
0.745	0.052	0.1126981187703438	
0.75	-0.139	0.09085608878941816	
0.755	-0.003	0.05984427326773432	
0.76	-0.003	0.02435344847915419	
0.765	-0.217	-0.014280955208307642	
0.77	-0.185	-0.052696503167628125	
0.775	-0.087	-0.09093384482732741	
0.78	-0.242	-0.12880993525650627	
0.785	-0.285	-0.1592981740690691	
0.79	-0.148	-0.18377478482879508	
0.795	-0.224	-0.20632028704355	
0.8	-0.329	-0.22300224533396165	
0.805	-0.200	-0.23219363221637185	
0.81	-0.163	-0.23874177068503885	
0.815	-0.306	-0.24219298596297995	
0.82	-0.241	-0.238647187884691	
0.825	-0.124	-0.23402830344660347	
0.83	-0.244	-0.22981645912220006	
0.835	-0.265	-0.22221862522620164	
0.84	-0.101	-0.21280293613295004	
0.845	-0.168	-0.20438758122532813	
0.85	-0.267	-0.19696051260844313	
0.855	-0.125	-0.18715115015005807	
0.86	-0.087	-0.1788032666352654	
0.865	-0.232	-0.1722204083681198	
0.87	-0.160	-0.16257860067427438	
0.875	-0.015	-0.1530279616397448	
0.88	-0.172	-0.14489204624652668	
0.885	-0.194	-0.13618928907024086	
0.89	0.000	-0.12673577887954424	
0.895	-0.090	-0.11845244057963496	
0.9	-0.201	-0.11200320737838056	
0.905	-0.038	-0.10405894550515231	
0.91	0.008	-0.09780534125860979	
0.915	-0.168	-0.09031820687731508	
0.92	-0.084	-0.08252106824326977	
0.925	0.101	-0.07295639587520865	
0.93	-0.101	-0.061990849288997604	
0.935	-0.130	-0.052205272567737604	
0.94	0.096	-0.04362927495080529	
0.945	-0.015	-0.0375023132914789	
0.95	-0.145	-0.03208003697865827	
0.955	0.047	-0.02696165519147821	
0.96	0.087	-0.02178816477679068	
0.965	-0.133	-0.01742668963967494	
0.97	-0.046	-0.014475332888588686	
0.975	0.143	-0.012881551455032302	
0.98	-0.078	-0.011084440851084993	
0.985	-0.108	-0.009220133235113885	
0.99	0.125	-0.008524901658670876	
0.995	0.001	-0.0075510815113092565	
1.0	-0.137	-0.007150852289972704	
1.005	0.059	-0.007869962799345844	
1.01	0.096	-0.006776661282197833	
1.015	-0.120	-0.004518397941798648	
1.02	-0.024	-0.003426017138512673	
1.025	0.160	-0.0008247086193058563	
1.03	-0.075	0.0018354437902886919	
1.035	-0.098	0.002775027756135162	
1.04	0.143	0.0035496521369727846	
1.045	0.004	0.003409515649074267	
1.05	-0.133	0.002805106905184894	
1.055	0.061	0.0011901611223298788	
1.06	0.093	0.00022725283221527225	
1.065	-0.122	-0.0005757861033624881	
1.07	-0.032	-0.0013966786784539594	
1.075	0.149	-0.0027900189502236233	
1.08	-0.075	-0.0022113846018130033	
1.085	-0.101	-0.002225758092464657	
1.09	0.131	-0.002405934336152189	
1.095	0.011	-0.0016173451030418518	
1.1	-0.131	-0.0012158874044440006	
1.105	0.068	-0.0007709658732279628	
1.11	0.090	-0.000780936068735989	
1.115	-0.134	-0.0006065684163315014	
1.12	-0.041	-0.0033701080884496297	
1.125	0.139	-0.005783122595485689	
1.13	-0.081	-0.008240012949523364	
1.135	-0.107	-0.009209875080396508	
1.14	0.128	-0.009389408080035655	
1.145	0.003	-0.008643214914841829	
1.15	-0.134	-0.00821335047470138	
1.155	0.058	-0.007748702494115954	
1.16	0.088	-0.006798065405720521	
1.165	-0.128	-0.005613793449057096	
1.17	-0.037	-0.006348398937815792	
1.175	0.155	-0.005790845691453798	
1.18	-0.067	-0.0042522385991313905	
1.185	-0.084	-0.0011929885202739152	
1.19	0.180	0.00460968470971113	
1.195	0.058	0.013346392491661769	
1.2	-0.099	0.023800913821609163	
1.205	0.117	0.031245649941892547	
1.21	0.145	0.03818370633607151	
1.215	-0.084	0.04340806037931287	
1.22	0.026	0.04665584004079945	
1.225	0.204	0.04817501798859349	
1.23	-0.043	0.049764151090533934	
1.235	-0.075	0.047831207573105966	
