Time	Potential	EKG	Unnamed: 3
0.0	-0.106	-0.005332544502868698	
0.005	-0.104	-0.021136630826901467	
0.01	-0.116	-0.044562655469506315	
0.015	-0.168	-0.07215615868503193	
0.02	-0.203	-0.10236563031388578	
0.025	-0.187	-0.1325893451649214	
0.03	-0.207	-0.15988071576910823	
0.035	-0.228	-0.18250712154366341	
0.04	-0.177	-0.19777988838484795	
0.045	-0.145	-0.20259276237020854	
0.05	-0.153	-0.19648140730695784	
0.055	-0.136	-0.18410182679146248	
0.06	-0.135	-0.1694254860190399	
0.065	-0.205	-0.16027450558285353	
0.07	-0.236	-0.1614407279471577	
0.075	-0.162	-0.17044325373727734	
0.08	-0.078	-0.1738937682350296	
0.085	-0.025	-0.15961745063953775	
0.09	0.038	-0.12567736000401217	
0.095	-0.141	-0.09055860292720488	
0.1	-0.257	-0.08066029479690354	
0.105	-0.234	-0.1010951871587209	
0.11	-0.145	-0.1322732119766209	
0.115	-0.122	-0.15433903277082522	
0.12	-0.049	-0.15650712443780956	
0.125	0.044	-0.13529737753065088	
0.13	0.059	-0.09688543978951991	
0.135	-0.005	-0.05378765990396463	
0.14	0.020	-0.01764126266631154	
0.145	0.130	0.01057159073605641	
0.15	0.059	0.03727398833755595	
0.155	0.113	0.060866235887261796	
0.16	0.134	0.08081818413116279	
0.165	0.085	0.09661873742769825	
0.17	0.111	0.10539500048665428	
0.175	0.221	0.11576200447258428	
0.18	0.229	0.13515740261320508	
0.185	0.178	0.15814240324152717	
0.19	0.258	0.18136447132250258	
0.195	0.270	0.20263777897004892	
0.2	0.281	0.22424286137669022	
0.205	0.319	0.2478244751606033	
0.21	0.539	0.2818822076865817	
0.215	0.577	0.3356678495378035	
0.22	0.557	0.4043472936438071	
0.225	0.647	0.47273162727796536	
0.23	0.643	0.5331850298638554	
0.235	0.502	0.5761342750139382	
0.24	0.478	0.5903068980696891	
0.245	0.392	0.5736178370789209	
0.25	0.336	0.5322766302454545	
0.255	0.244	0.47481375071329235	
0.26	0.033	0.3988081687203958	
0.265	-0.081	0.2976435899712373	
0.27	-0.155	0.17938421261077547	
0.275	-0.150	0.06474236889485976	
0.28	-0.168	-0.032811316616020395	
