Vernier Format 2
reposp.txt 10/20/2025 9:21:36
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.150	0.007	
0.005	0.309	0.037	
0.010	0.042	0.083	
0.015	0.085	0.112	
0.020	0.391	0.133	
0.025	0.219	0.169	
0.030	0.065	0.197	
0.035	0.358	0.207	
0.040	0.356	0.226	
0.045	0.091	0.247	
0.050	0.286	0.250	
0.055	0.408	0.255	
0.060	0.068	0.264	
0.065	0.085	0.249	
0.070	0.324	0.221	
0.075	0.065	0.204	
0.080	-0.109	0.173	
0.085	0.063	0.122	
0.090	-0.016	0.075	
0.095	-0.218	0.029	
0.100	-0.124	-0.026	
0.105	-0.048	-0.071	
0.110	-0.231	-0.102	
0.115	-0.254	-0.133	
0.120	-0.121	-0.164	
0.125	-0.228	-0.182	
0.130	-0.308	-0.198	
0.135	-0.128	-0.214	
0.140	-0.144	-0.215	
0.145	-0.286	-0.209	
0.150	-0.164	-0.207	
0.155	-0.091	-0.201	
0.160	-0.259	-0.189	
0.165	-0.242	-0.187	
0.170	-0.073	-0.189	
0.175	-0.170	-0.181	
0.180	-0.243	-0.174	
0.185	-0.077	-0.172	
0.190	-0.085	-0.162	
0.195	-0.240	-0.149	
0.200	-0.138	-0.148	
0.205	-0.033	-0.146	
0.210	-0.216	-0.137	
0.215	-0.175	-0.137	
0.220	0.014	-0.137	
0.225	-0.135	-0.125	
0.230	-0.221	-0.118	
0.235	-0.022	-0.120	
0.240	-0.027	-0.113	
0.245	-0.195	-0.101	
0.250	-0.042	-0.097	
0.255	0.082	-0.087	
0.260	-0.121	-0.066	
0.265	-0.103	-0.055	
0.270	0.140	-0.049	
0.275	-0.042	-0.030	
0.280	-0.155	-0.020	
0.285	0.106	-0.023	
0.290	0.054	-0.015	
0.295	-0.149	-0.005	
0.300	-0.024	-0.012	
0.305	0.095	-0.018	
0.310	-0.167	-0.017	
0.315	-0.163	-0.032	
0.320	0.037	-0.055	
0.325	-0.126	-0.066	
0.330	-0.224	-0.079	
0.335	-0.037	-0.099	
0.340	-0.060	-0.107	
0.345	-0.224	-0.109	
0.350	-0.105	-0.118	
0.355	0.046	-0.119	
0.360	-0.175	-0.106	
0.365	-0.181	-0.102	
0.370	0.031	-0.105	
0.375	-0.132	-0.098	
0.380	-0.207	-0.097	
0.385	0.042	-0.102	
0.390	0.190	-0.083	
0.395	0.132	-0.032	
0.400	0.437	0.040	
0.405	0.501	0.137	
0.410	-0.047	0.224	
0.415	-0.189	0.236	
0.420	-0.063	0.175	
0.425	-0.178	0.091	
0.430	-0.250	0.001	
0.435	-0.066	-0.077	
0.440	-0.031	-0.121	
0.445	-0.201	-0.135	
0.450	-0.063	-0.140	
0.455	0.066	-0.129	
0.460	-0.149	-0.103	
0.465	-0.156	-0.089	
