Vernier Format 2
ecg7.txt 10/18/2025 7:47:10
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.134	-0.006	
0.005	-0.153	-0.028	
0.010	-0.226	-0.064	
0.015	-0.160	-0.105	
0.020	-0.143	-0.138	
0.025	-0.223	-0.159	
0.030	-0.204	-0.177	
0.035	-0.163	-0.190	
0.040	-0.282	-0.199	
0.045	-0.235	-0.211	
0.050	0.171	-0.204	
0.055	0.401	-0.140	
0.060	0.491	-0.015	
0.065	0.482	0.135	
0.070	0.165	0.259	
0.075	-0.168	0.301	
0.080	-0.204	0.249	
0.085	-0.186	0.143	
0.090	-0.259	0.025	
0.095	-0.259	-0.082	
0.100	-0.171	-0.163	
0.105	-0.217	-0.210	
0.110	-0.264	-0.235	
0.115	-0.151	-0.245	
0.120	-0.111	-0.236	
0.125	-0.192	-0.214	
0.130	-0.111	-0.192	
0.135	-0.003	-0.165	
0.140	-0.082	-0.130	
0.145	-0.090	-0.101	
0.150	0.037	-0.079	
0.155	-0.043	-0.056	
0.160	-0.102	-0.041	
0.165	0.056	-0.035	
0.170	0.082	-0.022	
0.175	-0.011	-0.001	
0.180	0.160	0.019	
0.185	0.343	0.056	
0.190	0.262	0.115	
0.195	0.241	0.174	
0.200	0.405	0.223	
0.205	0.344	0.271	
0.210	0.236	0.306	
0.215	0.338	0.320	
0.220	0.280	0.323	
0.225	0.041	0.308	
0.230	-0.002	0.261	
0.235	0.061	0.194	
0.240	-0.113	0.125	
0.245	-0.154	0.054	
0.250	-0.055	-0.013	
0.255	-0.089	-0.060	
0.260	-0.186	-0.091	
0.265	-0.098	-0.115	
0.270	-0.047	-0.126	
0.275	-0.149	-0.124	
0.280	-0.073	-0.119	
0.285	0.015	-0.108	
0.290	-0.095	-0.089	
0.295	-0.107	-0.076	
0.300	-0.008	-0.070	
0.305	-0.058	-0.063	
0.310	-0.136	-0.059	
0.315	-0.046	-0.064	
0.320	0.001	-0.065	
0.325	-0.096	-0.060	
0.330	-0.056	-0.058	
0.335	0.026	-0.054	
0.340	-0.105	-0.048	
0.345	-0.137	-0.051	
0.350	-0.055	-0.063	
0.355	-0.139	-0.075	
0.360	-0.204	-0.092	
0.365	-0.119	-0.114	
0.370	-0.104	-0.129	
0.375	-0.194	-0.137	
0.380	-0.153	-0.145	
0.385	-0.140	-0.152	
0.390	-0.236	-0.158	
0.395	-0.171	-0.168	
0.400	0.235	-0.158	
0.405	0.381	-0.092	
0.410	0.293	0.016	
0.415	0.213	0.121	
0.420	-0.012	0.183	
0.425	-0.198	0.179	
0.430	-0.178	0.117	
0.435	-0.085	0.036	
0.440	-0.169	-0.035	
0.445	-0.195	-0.092	
0.450	-0.098	-0.133	
0.455	-0.104	-0.152	
0.460	-0.182	-0.155	
