Vernier Format 2
ecg3.txt 10/18/2025 7:28:39
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	3.017	0.139	
0.005	3.020	0.600	
0.010	3.020	1.272	
0.015	3.020	1.926	
0.020	3.020	2.449	
0.025	3.018	2.812	
0.030	3.018	3.028	
0.035	3.018	3.133	
0.040	3.029	3.164	
0.045	3.034	3.154	
0.050	3.018	3.126	
0.055	3.050	3.094	
0.060	-0.396	2.910	
0.065	3.053	2.528	
0.070	2.858	2.268	
0.075	-0.996	2.081	
0.080	-0.994	1.599	
0.085	0.190	0.938	
0.090	-0.996	0.366	
0.095	-0.997	-0.112	
0.100	-0.996	-0.511	
0.105	-0.997	-0.796	
0.110	-0.997	-0.974	
0.115	-0.997	-1.065	
0.120	-0.997	-1.098	
0.125	-0.997	-1.095	
0.130	-0.997	-1.076	
0.135	-0.997	-1.052	
0.140	-0.997	-1.030	
0.145	-0.997	-1.013	
0.150	-0.997	-1.002	
0.155	-0.997	-0.995	
0.160	-0.997	-0.993	
0.165	-0.997	-0.992	
0.170	-0.997	-0.993	
0.175	-0.997	-0.994	
0.180	-0.997	-0.995	
0.185	-0.997	-0.996	
0.190	-0.997	-0.997	
0.195	-0.997	-0.997	
0.200	-0.997	-0.997	
0.205	-0.997	-0.997	
0.210	-0.997	-0.997	
0.215	-0.996	-0.997	
0.220	-0.996	-0.997	
0.225	-0.997	-0.997	
0.230	-0.997	-0.996	
0.235	-0.996	-0.996	
0.240	-0.997	-0.996	
0.245	-0.997	-0.996	
0.250	-0.848	-0.990	
0.255	-0.996	-0.974	
0.260	-0.997	-0.963	
0.265	-0.974	-0.963	
0.270	-0.980	-0.967	
0.275	-0.997	-0.971	
0.280	-0.997	-0.978	
0.285	0.672	-0.907	
0.290	-0.997	-0.735	
0.295	-0.997	-0.622	
0.300	1.630	-0.514	
0.305	-0.994	-0.308	
0.310	-0.997	-0.212	
0.315	1.159	-0.210	
0.320	0.974	-0.065	
0.325	-0.996	0.116	
0.330	-0.274	0.124	
0.335	3.066	0.175	
0.340	-0.996	0.392	
0.345	-0.996	0.430	
0.350	3.060	0.373	
0.355	-0.038	0.511	
0.360	-0.996	0.576	
0.365	3.053	0.549	
0.370	3.060	0.811	
0.375	-0.994	1.168	
0.380	2.114	1.275	
0.385	3.040	1.381	
0.390	-0.552	1.532	
0.395	-0.185	1.404	
0.400	3.038	1.179	
0.405	2.459	1.237	
0.410	-0.537	1.379	
0.415	3.041	1.399	
0.420	3.035	1.546	
0.425	-0.370	1.737	
0.430	3.050	1.756	
0.435	3.023	1.846	
0.440	0.709	2.001	
0.445	1.166	1.967	
0.450	3.026	1.867	
0.455	2.985	1.944	
0.460	-0.569	2.012	
0.465	3.043	1.900	
0.470	3.041	1.889	
0.475	-0.701	1.923	
