Vernier Format 2
reposo.txt 10/18/2025 7:16:57
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.505	0.023	
0.005	-0.204	0.068	
0.010	-0.095	0.077	
0.015	0.483	0.071	
0.020	-0.133	0.090	
0.025	-0.319	0.077	
0.030	0.192	0.030	
0.035	-0.043	0.003	
0.040	-0.428	-0.026	
0.045	-0.107	-0.082	
0.050	0.125	-0.118	
0.055	-0.392	-0.126	
0.060	-0.291	-0.150	
0.065	0.161	-0.172	
0.070	-0.277	-0.162	
0.075	-0.427	-0.165	
0.080	0.032	-0.187	
0.085	-0.111	-0.185	
0.090	-0.459	-0.180	
0.095	-0.128	-0.198	
0.100	0.126	-0.197	
0.105	-0.380	-0.172	
0.110	-0.270	-0.170	
0.115	0.235	-0.169	
0.120	-0.236	-0.139	
0.125	-0.386	-0.127	
0.130	0.125	-0.139	
0.135	-0.032	-0.127	
0.140	-0.406	-0.113	
0.145	-0.055	-0.127	
0.150	0.238	-0.123	
0.155	-0.332	-0.095	
0.160	-0.233	-0.094	
0.165	0.302	-0.099	
0.170	-0.195	-0.075	
0.175	-0.343	-0.069	
0.180	0.219	-0.084	
0.185	0.044	-0.070	
0.190	-0.374	-0.053	
0.195	-0.015	-0.068	
0.200	0.308	-0.067	
0.205	-0.294	-0.040	
0.210	-0.191	-0.041	
0.215	0.390	-0.047	
0.220	-0.148	-0.021	
0.225	-0.317	-0.015	
0.230	0.256	-0.033	
0.235	0.085	-0.023	
0.240	-0.351	-0.010	
0.245	0.035	-0.029	
0.250	0.363	-0.029	
0.255	-0.270	-0.001	
0.260	-0.175	-0.003	
0.265	0.416	-0.013	
0.270	-0.125	0.009	
0.275	-0.297	0.012	
0.280	0.305	-0.008	
0.285	0.151	0.005	
0.290	-0.323	0.024	
0.295	0.072	0.009	
0.300	0.401	0.010	
0.305	-0.250	0.038	
0.310	-0.153	0.033	
0.315	0.466	0.020	
0.320	-0.095	0.042	
0.325	-0.274	0.045	
0.330	0.348	0.024	
0.335	0.198	0.038	
0.340	-0.305	0.058	
0.345	0.101	0.043	
0.350	0.447	0.044	
0.355	-0.224	0.071	
0.360	-0.131	0.065	
0.365	0.518	0.052	
0.370	-0.038	0.076	
0.375	-0.233	0.083	
0.380	0.437	0.068	
0.385	0.314	0.093	
0.390	-0.242	0.125	
0.395	0.198	0.120	
0.400	0.535	0.126	
0.405	-0.169	0.157	
0.410	-0.078	0.149	
0.415	0.575	0.129	
0.420	-0.017	0.144	
0.425	-0.256	0.138	
0.430	0.351	0.101	
0.435	0.197	0.094	
0.440	-0.320	0.093	
0.445	0.041	0.056	
0.450	0.386	0.035	
0.455	-0.258	0.044	
0.460	-0.186	0.025	
0.465	0.408	0.001	
0.470	-0.120	0.013	
0.475	-0.314	0.009	
