Vernier Format 2
ecg7.txt 10/21/2025 9:49:44
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.124	-0.006	
0.005	-0.292	-0.032	
0.010	-0.202	-0.082	
0.015	-0.181	-0.131	
0.020	-0.304	-0.171	
0.025	-0.252	-0.207	
0.030	-0.145	-0.231	
0.035	-0.283	-0.238	
0.040	-0.341	-0.246	
0.045	-0.216	-0.259	
0.050	-0.249	-0.265	
0.055	-0.327	-0.267	
0.060	-0.208	-0.270	
0.065	-0.136	-0.262	
0.070	-0.219	-0.242	
0.075	-0.152	-0.221	
0.080	0.052	-0.192	
0.085	-0.052	-0.146	
0.090	-0.223	-0.110	
0.095	-0.370	-0.112	
0.100	-0.662	-0.167	
0.105	-0.856	-0.281	
0.110	-0.732	-0.428	
0.115	-0.578	-0.556	
0.120	-0.550	-0.628	
0.125	-0.384	-0.643	
0.130	-0.153	-0.599	
0.135	-0.141	-0.506	
0.140	-0.064	-0.389	
0.145	0.263	-0.261	
0.150	0.246	-0.117	
0.155	0.122	0.016	
0.160	0.318	0.116	
0.165	0.169	0.186	
0.170	-0.181	0.208	
0.175	-0.197	0.163	
0.180	-0.060	0.081	
0.185	-0.197	0.002	
0.190	-0.359	-0.075	
0.195	-0.269	-0.153	
0.200	-0.245	-0.216	
0.205	-0.232	-0.253	
0.210	-0.069	-0.260	
0.215	0.046	-0.231	
0.220	-0.043	-0.175	
0.225	0.162	-0.109	
0.230	0.402	-0.026	
0.235	0.334	0.080	
0.240	0.357	0.183	
0.245	0.567	0.275	
0.250	0.441	0.358	
0.255	0.223	0.410	
0.260	0.322	0.416	
0.265	0.263	0.394	
0.270	0.041	0.352	
0.275	0.030	0.283	
0.280	0.096	0.206	
0.285	-0.086	0.137	
0.290	-0.098	0.069	
0.295	0.036	0.012	
0.300	-0.057	-0.022	
0.305	-0.171	-0.046	
0.310	-0.025	-0.069	
0.315	-0.002	-0.078	
0.320	-0.126	-0.075	
0.325	-0.052	-0.074	
0.330	0.099	-0.066	
0.335	-0.040	-0.045	
0.340	-0.055	-0.028	
0.345	0.127	-0.015	
0.350	0.053	0.005	
0.355	-0.051	0.023	
0.360	0.097	0.029	
0.365	0.116	0.039	
0.370	-0.086	0.048	
0.375	-0.048	0.039	
0.380	-0.003	0.019	
0.385	-0.181	-0.006	
0.390	-0.211	-0.043	
0.395	-0.097	-0.086	
0.400	-0.197	-0.119	
0.405	-0.289	-0.149	
0.410	-0.164	-0.180	
0.415	-0.124	-0.196	
0.420	-0.245	-0.198	
0.425	-0.251	-0.202	
0.430	-0.158	-0.209	
0.435	-0.193	-0.208	
0.440	-0.130	-0.201	
0.445	0.091	-0.177	
0.450	0.072	-0.127	
0.455	-0.013	-0.068	
0.460	0.183	-0.016	
0.465	0.094	0.033	
