Vernier Format 2
reposo.txt 10/21/2025 9:10:34
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.090	-0.004	
0.005	0.172	-0.006	
0.010	0.165	0.014	
0.015	-0.138	0.038	
0.020	-0.009	0.037	
0.025	0.128	0.028	
0.030	-0.159	0.023	
0.035	-0.200	-0.002	
0.040	0.007	-0.039	
0.045	-0.132	-0.065	
0.050	-0.283	-0.091	
0.055	-0.118	-0.124	
0.060	-0.118	-0.147	
0.065	-0.306	-0.162	
0.070	-0.203	-0.182	
0.075	-0.077	-0.195	
0.080	-0.265	-0.194	
0.085	-0.271	-0.198	
0.090	-0.068	-0.204	
0.095	-0.177	-0.196	
0.100	-0.294	-0.189	
0.105	-0.109	-0.191	
0.110	-0.095	-0.185	
0.115	-0.283	-0.174	
0.120	-0.182	-0.176	
0.125	-0.040	-0.176	
0.130	-0.223	-0.166	
0.135	-0.228	-0.163	
0.140	-0.020	-0.164	
0.145	-0.142	-0.153	
0.150	-0.262	-0.146	
0.155	-0.054	-0.148	
0.160	-0.019	-0.140	
0.165	-0.232	-0.125	
0.170	-0.126	-0.123	
0.175	0.059	-0.119	
0.180	-0.171	-0.103	
0.185	-0.167	-0.097	
0.190	0.084	-0.096	
0.195	-0.064	-0.080	
0.200	-0.196	-0.069	
0.205	0.029	-0.070	
0.210	0.053	-0.062	
0.215	-0.182	-0.049	
0.220	-0.052	-0.050	
0.225	0.180	-0.046	
0.230	-0.113	-0.027	
0.235	-0.138	-0.021	
0.240	0.131	-0.026	
0.245	-0.051	-0.020	
0.250	-0.182	-0.021	
0.255	0.044	-0.034	
0.260	0.059	-0.036	
0.265	-0.164	-0.031	
0.270	-0.019	-0.035	
0.275	0.185	-0.032	
0.280	-0.112	-0.013	
0.285	-0.133	-0.010	
0.290	0.165	-0.016	
0.295	-0.061	-0.010	
0.300	-0.200	-0.012	
0.305	0.053	-0.030	
0.310	0.104	-0.033	
0.315	-0.164	-0.024	
0.320	-0.034	-0.027	
0.325	0.156	-0.027	
0.330	-0.141	-0.016	
0.335	-0.158	-0.020	
0.340	0.154	-0.033	
0.345	-0.029	-0.027	
0.350	-0.177	-0.023	
0.355	0.091	-0.031	
0.360	0.127	-0.022	
0.365	-0.162	-0.006	
0.370	-0.057	-0.008	
0.375	0.156	-0.014	
0.380	-0.119	-0.007	
0.385	-0.139	-0.013	
0.390	0.125	-0.026	
0.395	-0.048	-0.025	
0.400	-0.167	-0.026	
0.405	0.110	-0.034	
0.410	0.111	-0.024	
0.415	-0.165	-0.007	
0.420	-0.038	-0.010	
0.425	0.171	-0.012	
0.430	-0.139	-0.004	
0.435	-0.142	-0.010	
0.440	0.168	-0.024	
0.445	-0.017	-0.018	
0.450	-0.171	-0.013	
0.455	0.075	-0.022	
