Vernier Format 2
ecg3.txt 10/18/2025 9:13:17
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	0.636	0.029	
0.005	0.860	0.137	
0.010	0.950	0.317	
0.015	0.716	0.507	
0.020	0.803	0.654	
0.025	0.851	0.752	
0.030	0.588	0.804	
0.035	0.351	0.791	
0.040	0.293	0.712	
0.045	0.131	0.591	
0.050	-0.053	0.445	
0.055	-0.020	0.292	
0.060	-0.064	0.155	
0.065	-0.253	0.041	
0.070	-0.232	-0.060	
0.075	-0.174	-0.140	
0.080	-0.288	-0.193	
0.085	-0.345	-0.234	
0.090	-0.218	-0.266	
0.095	-0.255	-0.281	
0.100	-0.308	-0.284	
0.105	-0.204	-0.283	
0.110	-0.162	-0.270	
0.115	-0.255	-0.251	
0.120	-0.203	-0.235	
0.125	-0.128	-0.220	
0.130	-0.186	-0.202	
0.135	-0.134	-0.185	
0.140	-0.038	-0.165	
0.145	-0.079	-0.139	
0.150	-0.157	-0.116	
0.155	-0.060	-0.105	
0.160	-0.043	-0.094	
0.165	-0.149	-0.085	
0.170	-0.078	-0.085	
0.175	0.027	-0.081	
0.180	-0.095	-0.070	
0.185	-0.153	-0.066	
0.190	-0.079	-0.074	
0.195	-0.178	-0.087	
0.200	-0.264	-0.110	
0.205	-0.163	-0.141	
0.210	-0.131	-0.163	
0.215	-0.241	-0.175	
0.220	-0.178	-0.185	
0.225	-0.047	-0.185	
0.230	-0.035	-0.166	
0.235	0.177	-0.123	
0.240	0.543	-0.039	
0.245	0.565	0.093	
0.250	0.267	0.231	
0.255	-0.130	0.301	
0.260	-0.511	0.256	
0.265	-0.799	0.097	
0.270	-0.773	-0.132	
0.275	-0.573	-0.355	
0.280	-0.450	-0.508	
0.285	-0.313	-0.572	
0.290	-0.104	-0.553	
0.295	-0.053	-0.467	
0.300	-0.027	-0.350	
0.305	0.184	-0.224	
0.310	0.297	-0.092	
0.315	0.155	0.034	
0.320	0.253	0.129	
0.325	0.392	0.200	
0.330	0.253	0.258	
0.335	0.261	0.292	
0.340	0.476	0.313	
0.345	0.415	0.340	
0.350	0.376	0.368	
0.355	0.616	0.397	
0.360	0.770	0.447	
0.365	0.630	0.518	
0.370	0.828	0.589	
0.375	1.067	0.670	
0.380	0.925	0.765	
0.385	0.928	0.848	
0.390	1.401	0.926	
0.395	1.832	1.050	
0.400	2.055	1.245	
0.405	2.247	1.489	
0.410	2.116	1.734	
0.415	1.758	1.915	
0.420	1.561	1.982	
0.425	1.425	1.940	
0.430	0.997	1.811	
0.435	0.762	1.606	
0.440	0.742	1.360	
0.445	0.453	1.112	
0.450	0.120	0.867	
0.455	0.114	0.623	
0.460	0.155	0.412	
0.465	0.085	0.255	
0.470	0.177	0.155	
0.475	0.334	0.112	
0.480	0.259	0.121	
