Vernier Format 2
untitled.txt 10/18/2025 9:29:5
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.051	-0.002	
0.005	-0.217	-0.018	
0.010	-0.058	-0.047	
0.015	0.104	-0.063	
0.020	-0.035	-0.055	
0.025	0.327	-0.024	
0.030	0.875	0.065	
0.035	0.814	0.230	
0.040	0.646	0.414	
0.045	0.550	0.550	
0.050	-0.100	0.592	
0.055	-0.472	0.498	
0.060	-0.448	0.290	
0.065	-0.423	0.052	
0.070	-0.518	-0.158	
0.075	-0.379	-0.317	
0.080	-0.167	-0.404	
0.085	-0.246	-0.416	
0.090	-0.262	-0.388	
0.095	-0.049	-0.340	
0.100	-0.084	-0.274	
0.105	-0.222	-0.212	
0.110	-0.058	-0.169	
0.115	0.041	-0.130	
0.120	-0.176	-0.094	
0.125	-0.112	-0.079	
0.130	0.108	-0.070	
0.135	-0.104	-0.053	
0.140	-0.156	-0.046	
0.145	0.107	-0.049	
0.150	0.010	-0.038	
0.155	-0.158	-0.027	
0.160	0.041	-0.029	
0.165	0.146	-0.021	
0.170	-0.107	-0.003	
0.175	-0.031	0.002	
0.180	0.206	0.006	
0.185	-0.040	0.022	
0.190	-0.101	0.027	
0.195	0.191	0.023	
0.200	0.134	0.035	
0.205	-0.071	0.053	
0.210	0.183	0.060	
0.215	0.301	0.080	
0.220	0.009	0.111	
0.225	0.110	0.126	
0.230	0.366	0.138	
0.235	0.117	0.162	
0.240	0.021	0.173	
0.245	0.363	0.170	
0.250	0.240	0.183	
0.255	-0.061	0.192	
0.260	0.124	0.172	
0.265	0.172	0.147	
0.270	-0.138	0.123	
0.275	-0.118	0.078	
0.280	0.030	0.026	
0.285	-0.170	-0.015	
0.290	-0.252	-0.058	
0.295	-0.095	-0.104	
0.300	-0.164	-0.136	
0.305	-0.310	-0.160	
0.310	-0.181	-0.187	
0.315	-0.135	-0.203	
0.320	-0.312	-0.208	
0.325	-0.254	-0.219	
0.330	-0.110	-0.227	
0.335	-0.257	-0.223	
0.340	-0.327	-0.224	
0.345	-0.161	-0.232	
0.350	-0.203	-0.233	
0.355	-0.327	-0.231	
0.360	-0.184	-0.236	
0.365	-0.109	-0.232	
0.370	-0.275	-0.218	
0.375	-0.225	-0.212	
0.380	-0.089	-0.207	
0.385	-0.223	-0.196	
0.390	-0.269	-0.191	
0.395	-0.078	-0.192	
0.400	-0.135	-0.183	
0.405	-0.268	-0.173	
0.410	-0.112	-0.173	
0.415	-0.025	-0.164	
0.420	-0.214	-0.147	
0.425	-0.155	-0.140	
0.430	0.046	-0.132	
0.435	-0.145	-0.114	
0.440	-0.216	-0.105	
0.445	-0.006	-0.108	
0.450	-0.045	-0.102	
0.455	-0.202	-0.094	
0.460	-0.052	-0.096	
0.465	0.041	-0.091	
