Vernier Format 2
reposo.txt 10/19/2025 9:56:26
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.177	-0.008	
0.005	0.078	-0.023	
0.010	0.330	-0.013	
0.015	-0.433	0.009	
0.020	-0.356	-0.023	
0.025	0.340	-0.072	
0.030	-0.196	-0.076	
0.035	-0.413	-0.086	
0.040	0.327	-0.107	
0.045	0.181	-0.078	
0.050	-0.396	-0.036	
0.055	0.044	-0.035	
0.060	0.536	-0.017	
0.065	-0.286	0.033	
0.070	-0.207	0.040	
0.075	0.606	0.032	
0.080	-0.086	0.065	
0.085	-0.329	0.074	
0.090	0.464	0.052	
0.095	0.304	0.073	
0.100	-0.349	0.103	
0.105	0.090	0.085	
0.110	0.596	0.080	
0.115	-0.255	0.110	
0.120	-0.182	0.100	
0.125	0.676	0.079	
0.130	-0.051	0.106	
0.135	-0.324	0.111	
0.140	0.476	0.083	
0.145	0.327	0.098	
0.150	-0.342	0.123	
0.155	0.105	0.102	
0.160	0.611	0.094	
0.165	-0.232	0.124	
0.170	-0.165	0.114	
0.175	0.678	0.094	
0.180	-0.042	0.120	
0.185	-0.327	0.123	
0.190	0.502	0.092	
0.195	0.389	0.110	
0.200	-0.313	0.143	
0.205	0.149	0.128	
0.210	0.695	0.129	
0.215	-0.193	0.168	
0.220	-0.115	0.165	
0.225	0.791	0.150	
0.230	0.085	0.187	
0.235	-0.258	0.203	
0.240	0.554	0.179	
0.245	0.412	0.192	
0.250	-0.304	0.213	
0.255	0.151	0.182	
0.260	0.692	0.165	
0.265	-0.194	0.188	
0.270	-0.139	0.172	
0.275	0.724	0.144	
0.280	-0.019	0.163	
0.285	-0.333	0.159	
0.290	0.379	0.113	
0.295	0.224	0.100	
0.300	-0.416	0.094	
0.305	-0.054	0.043	
0.310	0.371	0.003	
0.315	-0.375	-0.003	
0.320	-0.318	-0.037	
0.325	0.409	-0.075	
0.330	-0.177	-0.065	
0.335	-0.439	-0.066	
0.340	0.232	-0.092	
0.345	0.125	-0.081	
0.350	-0.448	-0.059	
0.355	-0.078	-0.077	
0.360	0.426	-0.079	
0.365	-0.324	-0.045	
0.370	-0.274	-0.043	
0.375	0.510	-0.051	
0.380	-0.121	-0.016	
0.385	-0.390	-0.002	
0.390	0.325	-0.021	
0.395	0.244	-0.003	
0.400	-0.385	0.026	
0.405	0.017	0.012	
0.410	0.536	0.011	
0.415	-0.274	0.046	
0.420	-0.220	0.045	
0.425	0.617	0.031	
0.430	0.233	0.076	
0.435	-0.255	0.122	
0.440	0.533	0.134	
0.445	0.360	0.169	
0.450	-0.313	0.199	
0.455	0.046	0.166	
0.460	0.519	0.133	
0.465	-0.252	0.131	
0.470	-0.144	0.100	
0.475	0.997	0.087	
0.480	0.243	0.161	
0.485	-0.312	0.222	
