Vernier Format 2
ecg1.txt 10/18/2025 9:42:40
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.546	-0.025	
0.005	0.224	-0.073	
0.010	0.959	-0.043	
0.015	-0.401	0.060	
0.020	-0.274	0.094	
0.025	0.971	0.095	
0.030	-0.161	0.147	
0.035	-0.555	0.150	
0.040	0.621	0.094	
0.045	0.366	0.098	
0.050	-0.604	0.116	
0.055	0.093	0.069	
0.060	0.838	0.053	
0.065	-0.459	0.095	
0.070	-0.329	0.080	
0.075	0.866	0.046	
0.080	-0.210	0.076	
0.085	-0.576	0.071	
0.090	0.629	0.021	
0.095	0.435	0.045	
0.100	-0.521	0.093	
0.105	0.421	0.091	
0.110	1.248	0.146	
0.115	-0.271	0.268	
0.120	-0.147	0.304	
0.125	1.135	0.292	
0.130	-0.171	0.323	
0.135	-0.631	0.285	
0.140	0.376	0.166	
0.145	0.073	0.085	
0.150	-0.731	0.020	
0.155	-0.086	-0.084	
0.160	0.687	-0.129	
0.165	-0.518	-0.092	
0.170	-0.361	-0.090	
0.175	0.852	-0.090	
0.180	-0.216	-0.021	
0.185	-0.576	0.009	
0.190	0.632	-0.011	
0.195	0.371	0.029	
0.200	-0.593	0.080	
0.205	0.159	0.060	
0.210	0.924	0.069	
0.215	-0.425	0.134	
0.220	-0.272	0.132	
0.225	1.014	0.108	
0.230	-0.129	0.152	
0.235	-0.492	0.158	
0.240	0.813	0.117	
0.245	0.576	0.155	
0.250	-0.488	0.213	
0.255	0.376	0.201	
0.260	1.146	0.223	
0.265	-0.295	0.302	
0.270	-0.106	0.306	
0.275	1.340	0.290	
0.280	0.140	0.354	
0.285	-0.347	0.378	
0.290	1.084	0.345	
0.295	0.796	0.386	
0.300	-0.402	0.440	
0.305	0.519	0.409	
0.310	1.220	0.403	
0.315	-0.284	0.450	
0.320	-0.147	0.413	
0.325	1.167	0.346	
0.330	-0.080	0.346	
0.335	-0.498	0.306	
0.340	0.718	0.213	
0.345	0.359	0.188	
0.350	-0.621	0.178	
0.355	0.012	0.101	
0.360	0.693	0.048	
0.365	-0.543	0.053	
0.370	-0.408	0.009	
0.375	0.707	-0.045	
0.380	-0.291	-0.030	
0.385	-0.640	-0.041	
0.390	0.467	-0.089	
0.395	0.177	-0.075	
0.400	-0.686	-0.048	
0.405	-0.040	-0.083	
0.410	0.675	-0.089	
0.415	-0.530	-0.040	
0.420	-0.376	-0.043	
0.425	0.771	-0.060	
0.430	-0.266	-0.016	
0.435	-0.624	-0.009	
0.440	0.489	-0.051	
0.445	0.195	-0.037	
0.450	-0.671	-0.014	
0.455	-0.013	-0.053	
0.460	0.710	-0.062	
0.465	-0.526	-0.014	
0.470	-0.379	-0.021	
0.475	0.793	-0.044	
0.480	-0.252	-0.003	
