Vernier Format 2
Reposo1.txt 10/25/2025 7:48:59
Run 1
Time	Potential	EKG	
T	P	E	
s	mV	mV	

0.000	-0.037	-0.002	
0.005	0.068	-0.002	
0.010	-0.162	-0.005	
0.015	-0.126	-0.023	
0.020	0.090	-0.043	
0.025	-0.090	-0.046	
0.030	-0.164	-0.051	
0.035	0.061	-0.060	
0.040	0.024	-0.055	
0.045	-0.144	-0.043	
0.050	0.065	-0.039	
0.055	0.279	-0.017	
0.060	0.104	0.030	
0.065	0.284	0.083	
0.070	0.545	0.150	
0.075	0.236	0.230	
0.080	0.038	0.275	
0.085	0.165	0.269	
0.090	-0.075	0.229	
0.095	-0.294	0.155	
0.100	-0.194	0.050	
0.105	-0.110	-0.047	
0.110	-0.251	-0.117	
0.115	-0.184	-0.167	
0.120	0.003	-0.188	
0.125	-0.138	-0.179	
0.130	-0.190	-0.163	
0.135	0.038	-0.147	
0.140	-0.014	-0.118	
0.145	-0.176	-0.089	
0.150	-0.017	-0.077	
0.155	0.094	-0.062	
0.160	-0.141	-0.041	
0.165	-0.095	-0.037	
0.170	0.114	-0.038	
0.175	-0.081	-0.029	
0.180	-0.144	-0.028	
0.185	0.111	-0.034	
0.190	0.033	-0.026	
0.195	-0.161	-0.016	
0.200	0.009	-0.021	
0.205	0.131	-0.020	
0.210	-0.112	-0.009	
0.215	-0.074	-0.009	
0.220	0.146	-0.013	
0.225	-0.051	-0.005	
0.230	-0.116	-0.003	
0.235	0.140	-0.008	
0.240	0.053	0.001	
0.245	-0.129	0.010	
0.250	0.067	0.007	
0.255	0.174	0.012	
0.260	-0.090	0.028	
0.265	-0.043	0.028	
0.270	0.189	0.023	
0.275	-0.019	0.031	
0.280	-0.095	0.032	
0.285	0.180	0.025	
0.290	0.111	0.035	
0.295	-0.104	0.047	
0.300	0.099	0.044	
0.305	0.221	0.049	
0.310	-0.064	0.065	
0.315	-0.016	0.064	
0.320	0.230	0.058	
0.325	-0.011	0.064	
0.330	-0.090	0.061	
0.335	0.163	0.047	
0.340	0.094	0.046	
0.345	-0.116	0.049	
0.350	0.056	0.037	
0.355	0.119	0.030	
0.360	-0.141	0.028	
0.365	-0.110	0.009	
0.370	0.070	-0.015	
0.375	-0.132	-0.029	
0.380	-0.220	-0.050	
0.385	-0.042	-0.079	
0.390	-0.103	-0.097	
0.395	-0.251	-0.112	
0.400	-0.126	-0.132	
0.405	-0.081	-0.144	
0.410	-0.251	-0.148	
0.415	-0.200	-0.159	
0.420	-0.046	-0.168	
0.425	-0.190	-0.163	
0.430	-0.260	-0.162	
0.435	-0.074	-0.168	
0.440	-0.106	-0.164	
0.445	-0.239	-0.155	
0.450	-0.104	-0.154	
0.455	-0.020	-0.147	
0.460	-0.208	-0.132	
0.465	-0.162	-0.128	
